mgrs_tile
18TYP
19TCF
17SQC
18SUJ
18TXN
18TWP
18TWM
19TBG
17TQE
18TXK
18TYL
18TTK
18TWK
18TUK
19TCH
18STH
18TVK
18TYN
19TCG
19TCJ
17SPB
17SPC
18TWN
17SQD
19TDJ
18TXL
18TXP
19TBF
18TYM
18TXM
18TWL
18SUH
18SVJ
18STJ
17SQB
18TVL
