system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[106.0, 6.0]",40SBH,"[106.0, 6.0]","[0.0, 82.24650349999997]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[106.0, 6.0]",40SBJ,"[106.0, 6.0]","[1.5348837209302327E-6, 54.3482662142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[49.0, 6.0]",36JYS,"[49.0, 6.0]","[46.3679160952381, 94.7474079285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[49.0, 6.0]",36JYT,"[49.0, 6.0]","[24.913106857142857, 34.51226714285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,[6.0],36JZS,[6.0],[74.55737419047618],"{""type"":""MultiPoint"",""coordinates"":[]}"
5,[6.0],36JZT,[6.0],[0.020443738095238095],"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[49.0, 6.0]",36KYU,"[49.0, 6.0]","[7.800491953488372, 55.60030172093022]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[49.0, 6.0]",36KYV,"[49.0, 6.0]","[6.038936795454545, 78.4707986666667]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[6.0, 49.0]",36KZA,"[6.0, 49.0]","[19.227731808510644, 50.63942472093023]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[49.0, 6.0]",36KZB,"[49.0, 6.0]","[29.264127928571433, 37.25415220454544]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[49.0, 6.0]",36KZC,"[49.0, 6.0]","[5.631990707317073, 58.50307938095237]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[49.0, 6.0]",36KZD,"[49.0, 6.0]","[1.0682926829268291E-5, 82.4501073023256]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[6.0, 49.0]",36KZU,"[6.0, 49.0]","[1.9044721162790699, 92.41283597674418]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[6.0, 49.0]",36KZV,"[6.0, 49.0]","[2.132846627906976, 72.24158404545454]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,[6.0],37JBM,[6.0],[76.17833719047617],"{""type"":""MultiPoint"",""coordinates"":[]}"
15,[6.0],37JBN,[6.0],[0.013130214285714285],"{""type"":""MultiPoint"",""coordinates"":[]}"
16,[6.0],37JCM,[6.0],[55.42578792857142],"{""type"":""MultiPoint"",""coordinates"":[]}"
17,[6.0],37JCN,[6.0],[2.302325069767442],"{""type"":""MultiPoint"",""coordinates"":[]}"
18,[6.0],37JDM,[6.0],[92.13139695238095],"{""type"":""MultiPoint"",""coordinates"":[]}"
19,[6.0],37JDN,[6.0],[71.79843279069766],"{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[49.0, 6.0]",37KBA,"[49.0, 6.0]","[4.073170731707317E-6, 94.02562192857141]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[6.0, 49.0]",37KBP,"[6.0, 49.0]","[1.9084286511627908, 98.53170057142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[6.0, 49.0]",37KBQ,"[6.0, 49.0]","[2.102512604651163, 85.09355543181819]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[6.0, 49.0]",37KBR,"[6.0, 49.0]","[9.576430510638295, 67.42951425581394]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[6.0, 49.0]",37KBS,"[6.0, 49.0]","[17.182621931818183, 49.678731404761905]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[49.0, 6.0]",37KBT,"[49.0, 6.0]","[29.148775853658535, 34.056775071428575]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[49.0, 6.0]",37KBU,"[49.0, 6.0]","[10.44856348780488, 56.037074477272725]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[49.0, 6.0]",37KBV,"[49.0, 6.0]","[2.0480136190476195, 75.43552125]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[6.0, 49.0]",37KCA,"[6.0, 49.0]","[4.990819499999999, 64.5607165]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[6.0, 49.0]",37KCB,"[6.0, 49.0]","[25.63330339534884, 45.73156733333334]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,[6.0],37KCP,[6.0],[1.905999465116279],"{""type"":""MultiPoint"",""coordinates"":[]}"
31,[6.0],37KCQ,[6.0],[4.047108863636364],"{""type"":""MultiPoint"",""coordinates"":[]}"
32,[6.0],37KCR,[6.0],[9.093608659574468],"{""type"":""MultiPoint"",""coordinates"":[]}"
33,[6.0],37KCS,[6.0],[4.0048276590909095],"{""type"":""MultiPoint"",""coordinates"":[]}"
34,[6.0],37KCT,[6.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[6.0, 49.0]",37KCU,"[6.0, 49.0]","[3.7545010227272724, 98.12772856097561]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[6.0, 49.0]",37KCV,"[6.0, 49.0]","[4.0014662272727275, 83.03277152380953]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,[6.0],37KDA,[6.0],[2.286143488372093],"{""type"":""MultiPoint"",""coordinates"":[]}"
