system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[84.0, 41.0, 127.0]",12TXR,"[84.0, 41.0]","[9.495026125, 85.30176760465115, 93.47713471428571]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[84.0, 127.0]",12TXS,"[84.0, 127.0]","[5.353213499999999, 70.81635544186047]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[84.0, 127.0]",12TXT,"[84.0, 127.0]","[1.873219159090909, 48.0160696590909]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[41.0, 84.0]",12TYM,"[41.0, 84.0]","[5.646332499999999, 95.78731126666666]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[41.0, 84.0]",12TYN,"[41.0, 84.0]","[6.7674418604651155E-6, 76.12370842222224]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[41.0, 84.0]",12TYP,"[41.0, 84.0]","[7.788372093023256E-5, 54.267290266666684]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[41.0, 84.0]",12TYQ,"[41.0, 84.0]","[8.99767441860465E-5, 33.24462035555555]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[41.0, 84.0]",12TYR,"[41.0, 84.0]","[4.212401955555554, 16.377320458333333]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[84.0, 41.0]",12TYS,"[84.0, 41.0]","[6.129354543478258, 20.165040957446806]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[84.0, 41.0]",12TYT,"[84.0, 41.0]","[1.8600185909090912, 35.457301239130445]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[127.0, 84.0, 27.0]",12UWU,"[127.0, 84.0]","[3.719512195121951E-5, 63.88862747727273, 95.4062224651163]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[127.0, 27.0, 84.0]",12UWV,"[127.0, 27.0]","[7.3658536585365855E-6, 70.61272730952378, 84.87668272727272]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[127.0, 84.0]",12UXA,"[127.0, 84.0]","[2.0356209047619047, 16.175379386363634]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[127.0, 84.0, 27.0]",12UXB,"[127.0, 84.0]","[10.651601936170215, 37.79481639999999, 98.81902426190474]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[127.0, 84.0, 27.0]",12UXC,"[127.0, 84.0]","[9.836468391304347, 59.60567934042552, 79.30285021428573]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[127.0, 27.0, 84.0]",12UXD,"[127.0, 27.0]","[1.2219512195121952E-5, 53.04551251162792, 77.75982869565219]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[127.0, 27.0, 84.0]",12UXE,"[127.0, 27.0]","[2.0198659285714284, 28.547399590909084, 95.37430881395353]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[84.0, 127.0]",12UXU,"[84.0, 127.0]","[2.1785686136363647, 20.063038658536588]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[127.0, 84.0]",12UXV,"[127.0, 84.0]","[1.5004053902439025, 4.563358777777778]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[84.0, 127.0, 41.0]",12UYA,"[84.0, 127.0]","[5.966640978260869, 62.97309795238095, 86.69016586363635]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[84.0, 127.0]",12UYB,"[84.0, 127.0]","[3.7432060666666676, 43.60719480434783]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[84.0, 127.0]",12UYC,"[84.0, 127.0]","[7.215566382978724, 17.473071395348835]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[127.0, 84.0]",12UYD,"[127.0, 84.0]","[0.22790100000000008, 5.893014652173912]","{""type"":""MultiPoint"",""coordinates"":[]}"
