system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[74.0, 31.0]",51JYL,"[74.0, 31.0]","[11.907406139534878, 40.756199285714295]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[74.0, 31.0]",51JYM,"[74.0, 31.0]","[0.0035138333333333337, 66.45190565909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[74.0, 31.0]",51JYN,"[74.0, 31.0]","[1.6666666666666668E-7, 89.25812511627906]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[31.0, 74.0]",51JZM,"[31.0, 74.0]","[3.8646939772727276, 78.9093551190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[31.0, 74.0]",51JZN,"[31.0, 74.0]","[4.419879906976743, 56.57247538095236]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[117.0, 74.0]",51KWP,"[117.0, 74.0]","[0.9652051190476191, 63.65654971111111]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[74.0, 117.0]",51KXP,"[74.0, 117.0]","[5.466547266666667, 86.33975557142858]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[31.0, 74.0]",52JBR,"[31.0, 74.0]","[0.0, 96.85208758139535]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[31.0, 74.0]",52JBS,"[31.0, 74.0]","[3.888919386363636, 80.70046233333332]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[31.0, 74.0]",52JBT,"[31.0, 74.0]","[2.266068023255813, 62.64867207142858]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[46.0, 3.0]",51SXA,"[46.0, 3.0]","[9.707317073170732E-6, 96.96812882142856]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[3.0, 46.0]",51SXS,"[3.0, 46.0]","[33.11712766, 37.97830868852457]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[46.0, 3.0]",51SXT,"[46.0, 3.0]","[2.69961719047619, 47.21956544680852]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[46.0, 3.0]",51SXU,"[46.0, 3.0]","[1.948916, 62.09598881395347]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[46.0, 3.0]",51SXV,"[46.0, 3.0]","[9.75609756097561E-7, 81.15352520454547]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[3.0, 46.0]",51SYA,"[3.0, 46.0]","[10.325232659090913, 21.543131512195114]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[46.0, 3.0]",51SYB,"[46.0, 3.0]","[3.245631512195122, 29.214244799999996]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[46.0, 3.0]",51SYC,"[46.0, 3.0]","[1.3048780487804878E-5, 44.615030767441844]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[46.0, 3.0]",51SYD,"[46.0, 3.0]","[1.9494291428571435, 63.33874231818183]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[3.0, 46.0]",51SYS,"[3.0, 46.0]","[11.696606539999998, 99.33259647619046]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[3.0, 46.0]",51SYT,"[3.0, 46.0]","[7.219482723404253, 85.13323757142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[3.0, 46.0]",51SYU,"[3.0, 46.0]","[6.976744186046511E-7, 64.30707897619048]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[3.0, 46.0]",51SYV,"[3.0, 46.0]","[1.8696815909090907, 42.474970634146345]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[46.0, 3.0]",51TYE,"[46.0, 3.0]","[2.106829268292683E-4, 80.5142505909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[46.0, 3.0, 89.0]",51TYF,"[46.0, 3.0]","[1.3882926829268295E-4, 96.26259176744186, 99.92727290697674]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[3.0, 103.0]",52SBB,"[3.0, 103.0]","[11.76812148, 91.4860806818182]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,[3.0],52SBC,[3.0],[5.3322775],"{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[3.0, 46.0]",52SBD,"[3.0, 46.0]","[1.4186046511627907E-6, 99.4614889512195]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[3.0, 46.0]",52SBE,"[3.0, 46.0]","[1.8603616136363639, 82.21242997560977]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[3.0, 46.0]",52SBF,"[3.0, 46.0]","[2.048276022727273, 55.272517024390254]","{""type"":""MultiPoint"",""coordinates"":[]}"
