system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[43.0, 143.0, 86.0, 100.0]",06VVN,"[43.0, 143.0]","[8.618900230769231, 10.818826324999998, 88.59409394444447, 95.29232605555553]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[43.0, 143.0, 86.0]",06VVP,"[43.0, 143.0]","[1.5437409714285715, 16.88611046153847, 51.14699634285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[43.0, 86.0, 143.0]",06VVQ,"[43.0, 86.0]","[0.3136551470588235, 12.374986999999997, 36.72988573529411]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[86.0, 43.0, 143.0, 129.0]",06VVR,"[86.0, 43.0]","[2.5799894411764708, 2.812934941176471, 67.33737703030305, 85.45826581818181]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[43.0, 143.0, 100.0, 86.0]",06VWQ,"[43.0, 143.0]","[1.618436205882353, 1.6662490294117647, 64.13731880555557, 95.66432397058824]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[43.0, 143.0, 86.0, 100.0]",06VWR,"[43.0, 143.0]","[0.010804666666666666, 0.04726390909090909, 62.86742796969695, 89.4850765882353]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[29.0, 129.0, 86.0, 72.0]",06WVA,"[29.0, 129.0]","[0.003978689655172413, 2.931080677419354, 34.52488385294117, 62.79447113333334]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[29.0, 129.0, 72.0, 86.0, 115.0]",06WVB,"[29.0, 129.0]","[1.2145176896551724, 2.0879705, 13.02736444827586, 66.46197653333334, 93.63678655172411]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[72.0, 29.0, 129.0, 115.0, 86.0]",06WVC,"[72.0, 29.0]","[2.7712096896551723, 9.011650645161291, 17.97079103333333, 48.94100316666666, 96.67542336666665]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[43.0, 86.0, 129.0, 143.0]",06WVS,"[43.0, 86.0]","[1.753367424242424, 2.888963264705882, 44.40822075757576, 94.78213190909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[86.0, 129.0, 43.0, 29.0]",06WVT,"[86.0, 129.0]","[5.778228705882352, 10.420435666666666, 21.613913406249996, 96.5838155666667]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[129.0, 86.0, 43.0, 29.0]",06WVU,"[129.0, 86.0]","[0.027567354838709673, 3.2857134242424237, 56.78019168749999, 59.713603600000006]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[129.0, 86.0, 29.0, 43.0, 72.0]",06WVV,"[129.0, 86.0]","[5.062941500000001, 9.396902117647059, 15.909701199999999, 89.27034290322581, 98.04288970967744]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[129.0, 86.0, 43.0, 29.0]",06WWA,"[129.0, 86.0]","[0.48316216666666667, 4.33817521875, 35.388673774193556, 56.65213762068965]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[86.0, 129.0, 29.0, 43.0, 72.0]",06WWB,"[86.0, 129.0]","[0.010554566666666666, 6.128738193548386, 17.530671066666663, 67.23537403333333, 93.53885444827588]","{""type"":""MultiPoint"",""coordinates"":[]}"
