system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[88.0, 131.0, 45.0]",56ULU,"[88.0, 131.0]","[7.142857142857144E-8, 64.09846772500002, 95.52921980000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[88.0, 131.0]",53LLC,"[88.0, 131.0]","[21.397857166666665, 58.301865774999996]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[88.0, 131.0]",53LLD,"[88.0, 131.0]","[34.91898040909089, 39.062034775]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[131.0, 88.0]",53LLE,"[131.0, 88.0]","[30.926423229166662, 52.79481669047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[131.0, 88.0]",53LLF,"[131.0, 88.0]","[16.276301354166673, 73.31907573809524]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[131.0, 88.0]",53LLG,"[131.0, 88.0]","[1.95E-6, 93.24601723809526]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,[88.0],53LMC,[88.0],[9.06666085106383],"{""type"":""MultiPoint"",""coordinates"":[]}"
7,[88.0],53LMD,[88.0],[2.016566418604651],"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[88.0, 131.0]",53LME,"[88.0, 131.0]","[7.142857142857144E-8, 99.99364452941177]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[88.0, 131.0]",53LMF,"[88.0, 131.0]","[2.1428571428571428E-7, 92.28046806521738]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[88.0, 131.0]",53LMG,"[88.0, 131.0]","[6.221251558139537, 72.37877014634145]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[88.0, 131.0]",53LMH,"[88.0, 131.0]","[23.344898666666676, 53.050845390243886]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[131.0, 88.0]",53LMJ,"[131.0, 88.0]","[32.29957112500001, 43.95250745238094]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[131.0, 88.0]",53LMK,"[131.0, 88.0]","[12.470085325000003, 64.56684611904763]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[131.0, 88.0]",53LML,"[131.0, 88.0]","[0.2899795499999999, 85.17901285714284]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[88.0, 45.0]",53LNC,"[88.0, 45.0]","[4.532134045454546, 75.14853068292682]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[88.0, 45.0]",53LND,"[88.0, 45.0]","[0.0, 95.12929607317074]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,[88.0],53LNE,[88.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
18,[88.0],53LNF,[88.0],[5.000000000000001E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
19,[88.0],53LNG,[88.0],[1.9061962558139536],"{""type"":""MultiPoint"",""coordinates"":[]}"
20,[88.0],53LNH,[88.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
21,[88.0],53LNJ,[88.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[88.0, 131.0]",53LNK,"[88.0, 131.0]","[0.0, 98.75636470000003]","{""type"":""MultiPoint"",""coordinates"":[]}"
