system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[104.0, 4.0]",48TXQ,"[104.0, 4.0]","[2.1314591136363634, 83.67550993181818]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[104.0, 4.0]",48TXR,"[104.0, 4.0]","[1.8953862045454548, 58.8966870232558]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[104.0, 4.0]",48TXS,"[104.0, 4.0]","[6.976744186046512E-8, 35.77062156818182]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[104.0, 4.0]",48TXT,"[104.0, 4.0]","[1.4651162790697674E-6, 10.517279162790699]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[104.0, 61.0, 4.0]",48TYT,"[104.0, 61.0]","[1.2093023255813952E-6, 67.14742978571431, 97.3616671860465]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[47.0, 4.0, 90.0]",48UVA,"[47.0, 4.0]","[6.682926829268294E-6, 65.96358625581394, 83.67199539534886]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[47.0, 90.0, 4.0]",48UVB,"[47.0, 90.0]","[6.0975609756097564E-6, 54.075398860465114, 89.39899109302324]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[47.0, 4.0]",48UVU,"[47.0, 4.0]","[3.073170731707317E-6, 20.212176568181818]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[47.0, 4.0, 90.0]",48UVV,"[47.0, 4.0]","[1.941732428571429, 43.32271206818182, 99.85963326190478]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[4.0, 47.0]",48UWA,"[4.0, 47.0]","[5.837209302325582E-6, 10.587418292682928]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[47.0, 4.0]",48UWB,"[47.0, 4.0]","[2.487804878048781E-6, 4.6699027954545445]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[47.0, 4.0, 90.0]",48UWC,"[47.0, 4.0]","[4.262341348837208, 23.054558704545453, 99.91603916666665]","{""type"":""MultiPoint"",""coordinates"":[]}"
