system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[103.0, 60.0]",53TLK,"[103.0, 60.0]","[5.953488372093023E-6, 27.12520988095239]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[103.0, 60.0]",53TLL,"[103.0, 60.0]","[3.959773133333333, 51.42289652380952]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[60.0, 103.0]",53TMK,"[60.0, 103.0]","[1.2142857142857142E-6, 67.57503897674415]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[60.0, 103.0]",53TML,"[60.0, 103.0]","[2.1402012325581405, 42.381991444444445]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[60.0, 103.0]",53TMM,"[60.0, 103.0]","[3.779855181818183, 14.961607068181818]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[103.0, 60.0]",53TMN,"[103.0, 60.0]","[0.012288604651162787, 8.948336809523811]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[103.0, 60.0]",53UMP,"[103.0, 60.0]","[2.0720930232558143E-5, 33.91027904651162]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[60.0, 103.0]",53UNP,"[60.0, 103.0]","[4.716716863636363, 50.03043744186048]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[60.0, 103.0]",53UNQ,"[60.0, 103.0]","[3.992997093023256, 23.20562734883721]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[103.0, 60.0]",53UNR,"[103.0, 60.0]","[2.127087511627907, 3.998040023255815]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[103.0, 60.0]",53UNS,"[103.0, 60.0]","[2.5395348837209305E-5, 11.737300853658535]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[60.0, 103.0]",53UPT,"[60.0, 103.0]","[8.999999999999999E-6, 36.07596954545455]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[60.0, 103.0]",53UPU,"[60.0, 103.0]","[1.770731707317073E-5, 9.268466046511627]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[103.0, 60.0]",53UPV,"[103.0, 60.0]","[8.325581395348839E-6, 0.042437829268292676]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[60.0, 103.0]",54UUG,"[60.0, 103.0]","[7.317073170731708E-8, 7.357565409090911]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,[103.0],50NRF,[103.0],[13.810782897959182],"{""type"":""MultiPoint"",""coordinates"":[]}"
