system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[108.0, 8.0]",31TFE,"[108.0, 8.0]","[1.372093023255814E-6, 99.26287339534883]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[108.0, 8.0]",31TFF,"[108.0, 8.0]","[2.3255813953488374E-7, 83.14222890697675]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[108.0, 8.0]",31TFG,"[108.0, 8.0]","[3.876060733333334, 60.34117799999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[108.0, 8.0]",31TFH,"[108.0, 8.0]","[3.6894448, 39.66735908695654]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[108.0, 8.0]",31TFJ,"[108.0, 8.0]","[0.7731172558139536, 16.427707466666664]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[8.0, 108.0]",31TFK,"[8.0, 108.0]","[1.9890184772727268, 14.97928925581395]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[8.0, 108.0]",31TFL,"[8.0, 108.0]","[3.632684000000001, 36.25325181818182]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[8.0, 108.0]",31TFM,"[8.0, 108.0]","[1.858766954545455, 55.62520527272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[8.0, 108.0, 51.0]",31TFN,"[8.0, 108.0]","[3.638972422222221, 75.25613228888889, 92.18513641463417]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[108.0, 65.0, 8.0]",31TGJ,"[108.0, 65.0]","[1.259767441860465E-4, 87.33466142857141, 98.51535104651163]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[108.0, 8.0]",31TGK,"[108.0, 8.0]","[3.4053488372093023E-4, 81.3923546363636]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[108.0, 8.0]",31TGL,"[108.0, 8.0]","[1.8649295909090915, 60.44383247826087]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[108.0, 8.0]",31TGM,"[108.0, 8.0]","[3.0783720930232557E-4, 36.37856913636364]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[108.0, 8.0]",31TGN,"[108.0, 8.0]","[3.6503900444444457, 15.727560600000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[51.0, 8.0]",31UEP,"[51.0, 8.0]","[2.220763000000001, 18.886514533333337]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[51.0, 8.0]",31UEQ,"[51.0, 8.0]","[7.346519377777778, 37.53472276744186]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[51.0, 8.0, 94.0]",31UER,"[51.0, 8.0]","[2.230162642857143, 60.314857363636385, 88.66677054761907]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[51.0, 94.0, 8.0]",31UES,"[51.0, 94.0]","[1.2792682926829267E-4, 61.37395120930231, 81.7687250909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[51.0, 94.0, 8.0]",31UFA,"[51.0, 94.0]","[6.602682926829268E-4, 39.668633809523804, 76.11182839999998]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[51.0, 94.0, 8.0]",31UFB,"[51.0, 94.0]","[4.048780487804878E-6, 15.779088977272732, 94.76967899999997]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[8.0, 51.0, 108.0]",31UFP,"[8.0, 51.0]","[8.023255813953488E-6, 68.11983628571427, 93.23105813953488]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[8.0, 51.0]",31UFQ,"[8.0, 51.0]","[2.1569615454545454, 46.53816584444446]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[8.0, 51.0]",31UFR,"[8.0, 51.0]","[1.8837061818181817, 16.91632763414634]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[51.0, 8.0]",31UFS,"[51.0, 8.0]","[0.5700448292682926, 1.9755118863636363]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[51.0, 8.0]",31UFT,"[51.0, 8.0]","[3.9390243902439024E-5, 13.798962272727273]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[51.0, 8.0, 94.0]",31UFU,"[51.0, 8.0]","[5.463414634146341E-6, 33.25004897674418, 93.47476223809522]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[51.0, 8.0, 94.0]",31UFV,"[51.0, 8.0]","[1.0341463414634146E-4, 56.22155522222219, 67.43515992857144]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[8.0, 108.0]",31UGP,"[8.0, 108.0]","[0.11288790697674417, 4.106876418604651]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[8.0, 108.0]",31UGQ,"[8.0, 108.0]","[1.8699543409090909, 23.242472000000006]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[8.0, 108.0, 51.0]",31UGR,"[8.0, 108.0]","[2.186813386363636, 43.91582108695654, 99.37816129268292]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[8.0, 108.0, 51.0]",31UGS,"[8.0, 108.0]","[1.8606629545454552, 60.706795888888905, 82.85556368292684]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[8.0, 51.0, 108.0]",31UGT,"[8.0, 51.0]","[1.725813953488372E-4, 57.95139780487803, 77.4579116046512]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[8.0, 51.0, 108.0]",31UGU,"[8.0, 51.0]","[5.667441860465116E-5, 33.26989258536585, 94.87892502272729]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,"[8.0, 51.0]",31UGV,"[8.0, 51.0]","[5.728342217391304, 9.204123682926832]","{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[108.0, 65.0, 8.0]",32TLS,"[108.0, 65.0]","[2.24930325, 85.21933593023255, 89.28603593023254]","{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[108.0, 8.0]",32TLT,"[108.0, 8.0]","[3.631449177777778, 61.29934764444443]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[8.0, 108.0]",32ULA,"[8.0, 108.0]","[6.755813953488372E-5, 18.87744591304347]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[8.0, 108.0, 51.0]",32ULB,"[8.0, 108.0]","[1.849891386363636, 42.70146048888889, 96.59316382926829]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[8.0, 108.0, 51.0]",32ULC,"[8.0, 108.0]","[1.9467441860465112E-4, 66.52236379069767, 69.3566823902439]","{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[8.0, 51.0, 108.0]",32ULD,"[8.0, 51.0]","[5.420930232558139E-5, 36.376521682926835, 91.87959009090912]","{""type"":""MultiPoint"",""coordinates"":[]}"
40,"[8.0, 51.0]",32ULE,"[8.0, 51.0]","[5.646602000000001, 6.4464266097561005]","{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[51.0, 8.0]",32ULF,"[51.0, 8.0]","[9.317073170731707E-6, 5.528602777777777]","{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[51.0, 8.0, 94.0]",32ULG,"[51.0, 8.0]","[6.804878048780488E-5, 23.595747279069762, 84.79639620454546]","{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[108.0, 8.0]",32ULU,"[108.0, 8.0]","[1.31E-4, 29.680135767441868]","{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[108.0, 8.0]",32ULV,"[108.0, 8.0]","[1.9499566590909096, 5.718966272727273]","{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[108.0, 8.0, 65.0]",32UMA,"[108.0, 8.0]","[3.628796355555557, 60.910904790697685, 88.26439709090907]","{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[108.0, 8.0]",32UMB,"[108.0, 8.0]","[1.8584151818181818, 32.544738227272724]","{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[108.0, 8.0]",32UMC,"[108.0, 8.0]","[2.0915320681818184, 4.917560604651164]","{""type"":""MultiPoint"",""coordinates"":[]}"
48,"[8.0, 108.0]",32UMD,"[8.0, 108.0]","[1.99964640909091, 11.466826510638297]","{""type"":""MultiPoint"",""coordinates"":[]}"
