system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,[5.0],42QZJ,[5.0],[1.9085050232558138],"{""type"":""MultiPoint"",""coordinates"":[]}"
1,[5.0],42QZK,[5.0],[6.904761904761905E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[5.0, 48.0]",42QZL,"[5.0, 48.0]","[7.595238095238096E-6, 96.33827787804879]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[5.0, 48.0]",42QZM,"[5.0, 48.0]","[1.9095238095238095E-5, 78.90268945238094]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[48.0, 5.0]",42RYN,"[48.0, 5.0]","[1.9512359761904765, 89.8554207142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[5.0, 48.0]",42RZN,"[5.0, 48.0]","[1.8842476428571433, 59.65682759523809]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[5.0, 48.0]",42RZP,"[5.0, 48.0]","[16.590211500000002, 41.50290097674419]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[5.0, 105.0]",43QBA,"[5.0, 105.0]","[0.0012553333333333331, 80.84703627272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[5.0, 105.0]",43QBB,"[5.0, 105.0]","[1.9029054418604652, 97.334671]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,[5.0],43QBC,[5.0],[2.1840423255813954],"{""type"":""MultiPoint"",""coordinates"":[]}"
10,[5.0],43QBD,[5.0],[1.9395080697674418],"{""type"":""MultiPoint"",""coordinates"":[]}"
11,[5.0],43QBE,[5.0],[6.190476190476191E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[5.0, 48.0]",43QBF,"[5.0, 48.0]","[5.38095238095238E-6, 99.97692802500002]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[5.0, 48.0]",43QBG,"[5.0, 48.0]","[1.6690476190476188E-5, 88.46921476190477]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[105.0, 5.0]",43QBU,"[105.0, 5.0]","[39.76325913636362, 46.62213679069768]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[5.0, 105.0]",43QBV,"[5.0, 105.0]","[13.247684749999998, 62.35928227659575]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[105.0, 5.0]",43QCA,"[105.0, 5.0]","[1.8878197727272727, 78.63218609523808]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[105.0, 5.0]",43QCB,"[105.0, 5.0]","[10.316548395348839, 57.227203860465146]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[105.0, 5.0]",43QCC,"[105.0, 5.0]","[33.77140368888888, 35.44946095348836]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[5.0, 105.0]",43QCD,"[5.0, 105.0]","[13.93115530232558, 54.616248652173915]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[5.0, 105.0]",43QCE,"[5.0, 105.0]","[0.08304571428571432, 74.11315060869565]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[5.0, 105.0]",43QCF,"[5.0, 105.0]","[1.0023809523809525E-5, 92.74978004651162]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,[5.0],43QCG,[5.0],[9.5E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[105.0, 5.0]",43QCV,"[105.0, 5.0]","[7.368154106382978, 97.34141145238092]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[105.0, 5.0]",43QDD,"[105.0, 5.0]","[5.626186065217391, 98.2377884761905]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[105.0, 5.0]",43QDE,"[105.0, 5.0]","[1.887234068181818, 80.75113752380952]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[105.0, 5.0]",43QDF,"[105.0, 5.0]","[4.01139011627907, 58.54774138095239]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[105.0, 5.0]",43QDG,"[105.0, 5.0]","[25.468279844444446, 36.403772214285716]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[5.0, 48.0]",43RBH,"[5.0, 48.0]","[0.47866107142857156, 65.22592352380954]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[5.0, 48.0]",43RBJ,"[5.0, 48.0]","[14.756526095238096, 42.81886576744185]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[48.0, 5.0]",43RBK,"[48.0, 5.0]","[18.340103452380955, 38.2650120232558]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[48.0, 5.0]",43RBL,"[48.0, 5.0]","[2.6040475952380953, 59.52692169767442]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[48.0, 5.0]",43RBM,"[48.0, 5.0]","[5.657209772727271, 81.44603586363637]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,[5.0],43RCH,[5.0],[3.6666666666666666E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
34,[5.0],43RCJ,[5.0],[2.785714285714286E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[5.0, 48.0]",43RCK,"[5.0, 48.0]","[2.039122534883721, 99.45669568292686]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[5.0, 48.0]",43RCL,"[5.0, 48.0]","[2.032048186046512, 84.25964123809524]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[5.0, 48.0]",43RCM,"[5.0, 48.0]","[3.836877159090909, 62.26743038636364]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[5.0, 48.0]",43RCN,"[5.0, 48.0]","[13.196137976744186, 38.690366953488365]","{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[48.0, 5.0]",43RCP,"[48.0, 5.0]","[14.398574833333333, 33.02412761904761]","{""type"":""MultiPoint"",""coordinates"":[]}"
40,"[48.0, 5.0]",43RCQ,"[48.0, 5.0]","[2.412111142857143, 57.17024048888889]","{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[5.0, 105.0]",43RDH,"[5.0, 105.0]","[14.300938904761903, 43.0971634883721]","{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[5.0, 105.0]",43RDJ,"[5.0, 105.0]","[0.39061004761904755, 63.38358951162793]","{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[5.0, 105.0]",43RDK,"[5.0, 105.0]","[1.9033767906976755, 83.53818018604652]","{""type"":""MultiPoint"",""coordinates"":[]}"
44,[5.0],43RDL,[5.0],[1.4285714285714287E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
45,[5.0],43RDM,[5.0],[3.7228939999999997],"{""type"":""MultiPoint"",""coordinates"":[]}"
46,[5.0],43RDN,[5.0],[1.5714285714285712E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[5.0, 48.0]",43RDP,"[5.0, 48.0]","[2.3106762093023265, 98.24771807317073]","{""type"":""MultiPoint"",""coordinates"":[]}"
48,"[5.0, 48.0]",43RDQ,"[5.0, 48.0]","[7.516233434782607, 80.16706319047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
49,"[105.0, 5.0]",43REH,"[105.0, 5.0]","[2.297674418604651E-5, 99.05731700000003]","{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[105.0, 5.0]",43REJ,"[105.0, 5.0]","[3.3255813953488373E-6, 83.30282545238096]","{""type"":""MultiPoint"",""coordinates"":[]}"
51,"[105.0, 5.0]",43REK,"[105.0, 5.0]","[2.4458788409090912, 62.04312499999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
52,"[105.0, 5.0]",43REL,"[105.0, 5.0]","[17.29864652173913, 40.799637116279065]","{""type"":""MultiPoint"",""coordinates"":[]}"
53,"[5.0, 105.0]",43REM,"[5.0, 105.0]","[20.622818500000008, 35.09138084444445]","{""type"":""MultiPoint"",""coordinates"":[]}"
54,"[5.0, 105.0]",43REN,"[5.0, 105.0]","[1.2361460714285717, 52.09957702325582]","{""type"":""MultiPoint"",""coordinates"":[]}"
55,"[5.0, 105.0]",43REP,"[5.0, 105.0]","[2.0052488139534885, 71.71080523255814]","{""type"":""MultiPoint"",""coordinates"":[]}"
56,"[5.0, 105.0]",43REQ,"[5.0, 105.0]","[7.403001804347825, 91.09141739534881]","{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[105.0, 5.0]",43RFM,"[105.0, 5.0]","[1.790697674418605E-6, 99.75548019047615]","{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[105.0, 5.0]",43RFN,"[105.0, 5.0]","[1.9534883720930235E-6, 86.8293300952381]","{""type"":""MultiPoint"",""coordinates"":[]}"
59,"[105.0, 5.0]",43RFP,"[105.0, 5.0]","[1.7906976744186053E-6, 65.80201925581395]","{""type"":""MultiPoint"",""coordinates"":[]}"
60,"[105.0, 5.0]",43RFQ,"[105.0, 5.0]","[2.7047615116279076, 47.90867656521739]","{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[48.0, 5.0]",43SCR,"[48.0, 5.0]","[1.9464301190476192, 77.00160140909092]","{""type"":""MultiPoint"",""coordinates"":[]}"
62,"[48.0, 5.0]",43SCS,"[48.0, 5.0]","[1.3414634146341467E-5, 95.67115857142858]","{""type"":""MultiPoint"",""coordinates"":[]}"
63,"[48.0, 5.0]",43SDA,"[48.0, 5.0]","[6.909756097560976E-5, 91.2986359767442]","{""type"":""MultiPoint"",""coordinates"":[]}"
64,"[5.0, 48.0]",43SDR,"[5.0, 48.0]","[3.731440545454545, 57.02919047619049]","{""type"":""MultiPoint"",""coordinates"":[]}"
65,"[5.0, 48.0]",43SDS,"[5.0, 48.0]","[7.079015666666668, 32.57553124390243]","{""type"":""MultiPoint"",""coordinates"":[]}"
66,"[48.0, 5.0]",43SDT,"[48.0, 5.0]","[13.70683113953488, 29.61635679069767]","{""type"":""MultiPoint"",""coordinates"":[]}"
67,"[48.0, 5.0]",43SDU,"[48.0, 5.0]","[5.581064386363637, 50.25476241860464]","{""type"":""MultiPoint"",""coordinates"":[]}"
68,"[48.0, 5.0]",43SDV,"[48.0, 5.0]","[1.9474436904761905, 71.05546706976746]","{""type"":""MultiPoint"",""coordinates"":[]}"
69,"[5.0, 48.0]",43SEA,"[5.0, 48.0]","[6.951932454545457, 33.95520609302326]","{""type"":""MultiPoint"",""coordinates"":[]}"
70,"[48.0, 5.0]",43SEB,"[48.0, 5.0]","[14.817363466666666, 23.755679204545455]","{""type"":""MultiPoint"",""coordinates"":[]}"
71,"[48.0, 5.0]",43SEC,"[48.0, 5.0]","[2.1437090476190477, 43.71368152272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[48.0, 5.0]",43SED,"[48.0, 5.0]","[2.050674238095238, 62.56811838636363]","{""type"":""MultiPoint"",""coordinates"":[]}"
73,[5.0],43SER,[5.0],[3.8620385227272735],"{""type"":""MultiPoint"",""coordinates"":[]}"
74,[5.0],43SES,[5.0],[3.835E-4],"{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[5.0, 48.0]",43SET,"[5.0, 48.0]","[1.9767458372093027, 97.1250971860465]","{""type"":""MultiPoint"",""coordinates"":[]}"
76,"[5.0, 48.0]",43SEU,"[5.0, 48.0]","[2.1084480930232554, 78.75164245454543]","{""type"":""MultiPoint"",""coordinates"":[]}"
77,"[5.0, 48.0]",43SEV,"[5.0, 48.0]","[4.106168250000001, 54.94160816666667]","{""type"":""MultiPoint"",""coordinates"":[]}"
78,[5.0],43SFA,[5.0],[3.9960919772727266],"{""type"":""MultiPoint"",""coordinates"":[]}"
79,"[5.0, 48.0]",43SFB,"[5.0, 48.0]","[3.9238340681818182, 96.22078274418605]","{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[5.0, 48.0]",43SFC,"[5.0, 48.0]","[1.9369731395348841, 75.76752883333333]","{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[5.0, 48.0]",43SFD,"[5.0, 48.0]","[8.223898608695652, 52.227205804878054]","{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[105.0, 5.0]",43SFR,"[105.0, 5.0]","[19.563577953488373, 24.214256744186038]","{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[5.0, 105.0]",43SFS,"[5.0, 105.0]","[3.8402224999999994, 41.55368862222223]","{""type"":""MultiPoint"",""coordinates"":[]}"
84,"[5.0, 105.0]",43SFT,"[5.0, 105.0]","[1.9054187209302331, 59.03892731818182]","{""type"":""MultiPoint"",""coordinates"":[]}"
85,"[5.0, 105.0]",43SFU,"[5.0, 105.0]","[1.3945238095238097E-4, 76.99431897674418]","{""type"":""MultiPoint"",""coordinates"":[]}"
86,"[5.0, 105.0]",43SFV,"[5.0, 105.0]","[3.7990405000000007, 94.79148913953487]","{""type"":""MultiPoint"",""coordinates"":[]}"
87,"[5.0, 105.0]",43SGA,"[5.0, 105.0]","[10.651964720930232, 24.348147454545458]","{""type"":""MultiPoint"",""coordinates"":[]}"
88,"[5.0, 105.0]",43SGB,"[5.0, 105.0]","[1.903929837209302, 40.383572023255816]","{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[5.0, 105.0]",43SGC,"[5.0, 105.0]","[1.9044291162790696, 60.53129732608695]","{""type"":""MultiPoint"",""coordinates"":[]}"
90,"[105.0, 5.0]",43SGS,"[105.0, 5.0]","[3.6511071111111124, 92.34944197619046]","{""type"":""MultiPoint"",""coordinates"":[]}"
91,"[105.0, 5.0]",43SGT,"[105.0, 5.0]","[1.8687682045454552, 72.06646925581396]","{""type"":""MultiPoint"",""coordinates"":[]}"
92,"[105.0, 5.0]",43SGU,"[105.0, 5.0]","[7.48372093023256E-5, 50.57376019047619]","{""type"":""MultiPoint"",""coordinates"":[]}"
93,"[105.0, 5.0]",43SGV,"[105.0, 5.0]","[7.1991841818181825, 32.29395402272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
94,"[105.0, 5.0]",44SKD,"[105.0, 5.0]","[4.300000000000001E-5, 94.08528690476193]","{""type"":""MultiPoint"",""coordinates"":[]}"
95,"[105.0, 5.0]",44SKE,"[105.0, 5.0]","[1.879468750000001, 70.35484711363637]","{""type"":""MultiPoint"",""coordinates"":[]}"
96,"[105.0, 5.0]",44SKF,"[105.0, 5.0]","[2.198929, 43.33912465116278]","{""type"":""MultiPoint"",""coordinates"":[]}"
97,"[105.0, 5.0]",44SKG,"[105.0, 5.0]","[11.876778395348838, 16.625632279069766]","{""type"":""MultiPoint"",""coordinates"":[]}"
98,"[5.0, 105.0]",44SKH,"[5.0, 105.0]","[2.0367483023255817, 39.36220686956522]","{""type"":""MultiPoint"",""coordinates"":[]}"
99,"[105.0, 5.0]",44SLG,"[105.0, 5.0]","[2.1449253409090914, 98.72105640476192]","{""type"":""MultiPoint"",""coordinates"":[]}"
100,"[105.0, 5.0]",44SLH,"[105.0, 5.0]","[5.373071891304348, 79.71817244186049]","{""type"":""MultiPoint"",""coordinates"":[]}"
101,[5.0],41MQR,[5.0],[80.72284926190478],"{""type"":""MultiPoint"",""coordinates"":[]}"
102,[5.0],41MQS,[5.0],[88.85999602272727],"{""type"":""MultiPoint"",""coordinates"":[]}"
103,[5.0],41MRR,[5.0],[21.059336880952383],"{""type"":""MultiPoint"",""coordinates"":[]}"
104,[5.0],41MRS,[5.0],[5.315185772727274],"{""type"":""MultiPoint"",""coordinates"":[]}"
105,[5.0],41MRT,[5.0],[17.838489476190475],"{""type"":""MultiPoint"",""coordinates"":[]}"
106,[5.0],41MRU,[5.0],[38.24943333333332],"{""type"":""MultiPoint"",""coordinates"":[]}"
107,[5.0],41MRV,[5.0],[58.56991323809523],"{""type"":""MultiPoint"",""coordinates"":[]}"
108,[5.0],41NRA,[5.0],[78.77266085714285],"{""type"":""MultiPoint"",""coordinates"":[]}"
109,[5.0],41NRB,[5.0],[96.64695164285713],"{""type"":""MultiPoint"",""coordinates"":[]}"
110,[5.0],42MTA,[5.0],[8.863759095238098],"{""type"":""MultiPoint"",""coordinates"":[]}"
111,[5.0],42MTB,[5.0],[3.7297589545454546],"{""type"":""MultiPoint"",""coordinates"":[]}"
112,[5.0],42MTC,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
113,[5.0],42MTD,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
114,[5.0],42MTE,[5.0],[1.3691680238095236],"{""type"":""MultiPoint"",""coordinates"":[]}"
115,[5.0],42MTV,[5.0],[97.03743585714285],"{""type"":""MultiPoint"",""coordinates"":[]}"
116,"[5.0, 105.0]",42MUA,"[5.0, 105.0]","[7.248544613636364, 79.8390765348837]","{""type"":""MultiPoint"",""coordinates"":[]}"
117,"[5.0, 105.0]",42MUB,"[5.0, 105.0]","[3.729862, 97.07125073913045]","{""type"":""MultiPoint"",""coordinates"":[]}"
118,[5.0],42MUC,[5.0],[3.642857142857143E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
119,[5.0],42MUD,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
120,[5.0],42MUE,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
121,"[105.0, 5.0]",42MUV,"[105.0, 5.0]","[76.3474420888889, 82.20294776190478]","{""type"":""MultiPoint"",""coordinates"":[]}"
122,"[105.0, 5.0]",42MVA,"[105.0, 5.0]","[0.0025019534883720935, 91.56588838636365]","{""type"":""MultiPoint"",""coordinates"":[]}"
123,"[105.0, 5.0]",42MVB,"[105.0, 5.0]","[10.918217227272727, 72.61994452272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
124,"[105.0, 5.0]",42MVC,"[105.0, 5.0]","[35.569641000000004, 51.48252102380951]","{""type"":""MultiPoint"",""coordinates"":[]}"
125,"[5.0, 105.0]",42MVD,"[5.0, 105.0]","[31.40847683333334, 52.31404782608696]","{""type"":""MultiPoint"",""coordinates"":[]}"
126,"[5.0, 105.0]",42MVE,"[5.0, 105.0]","[11.311408619047619, 69.77676455813953]","{""type"":""MultiPoint"",""coordinates"":[]}"
127,"[105.0, 5.0]",42MWE,"[105.0, 5.0]","[2.254318113636364, 98.29996319047619]","{""type"":""MultiPoint"",""coordinates"":[]}"
128,[5.0],42NTF,[5.0],[16.891355142857144],"{""type"":""MultiPoint"",""coordinates"":[]}"
129,[5.0],42NTG,[5.0],[37.125544119047625],"{""type"":""MultiPoint"",""coordinates"":[]}"
130,[5.0],42NTH,[5.0],[57.360906785714285],"{""type"":""MultiPoint"",""coordinates"":[]}"
131,[5.0],42NTJ,[5.0],[78.06468341860464],"{""type"":""MultiPoint"",""coordinates"":[]}"
132,[5.0],42NTK,[5.0],[96.04274659523811],"{""type"":""MultiPoint"",""coordinates"":[]}"
133,[5.0],42NUF,[5.0],[1.6666666666666668E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
134,[5.0],42NUG,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
135,[5.0],42NUH,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
136,[5.0],42NUJ,[5.0],[1.909974976744186],"{""type"":""MultiPoint"",""coordinates"":[]}"
137,[5.0],42NUK,[5.0],[12.355783200000001],"{""type"":""MultiPoint"",""coordinates"":[]}"
138,[5.0],42NUL,[5.0],[27.008314380952378],"{""type"":""MultiPoint"",""coordinates"":[]}"
139,[5.0],42NUM,[5.0],[48.271124],"{""type"":""MultiPoint"",""coordinates"":[]}"
140,[5.0],42NUN,[5.0],[67.63531504761905],"{""type"":""MultiPoint"",""coordinates"":[]}"
141,[5.0],42NUP,[5.0],[97.88979051351352],"{""type"":""MultiPoint"",""coordinates"":[]}"
142,"[5.0, 105.0]",42NVF,"[5.0, 105.0]","[0.11901945238095238, 90.11282352272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
143,[5.0],42NVG,[5.0],[1.0571428571428572E-5],"{""type"":""MultiPoint"",""coordinates"":[]}"
144,[5.0],42NVH,[5.0],[1.3333333333333334E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
145,[5.0],42NVJ,[5.0],[1.9063427674418605],"{""type"":""MultiPoint"",""coordinates"":[]}"
146,[5.0],42NVK,[5.0],[5.467643555555555],"{""type"":""MultiPoint"",""coordinates"":[]}"
147,[5.0],42NVL,[5.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
148,[5.0],42NVM,[5.0],[1.9087804651162792],"{""type"":""MultiPoint"",""coordinates"":[]}"
149,[5.0],42NVN,[5.0],[9.361547690476193],"{""type"":""MultiPoint"",""coordinates"":[]}"
150,"[105.0, 5.0]",42NWF,"[105.0, 5.0]","[5.804785266666667, 82.2428162142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
151,"[105.0, 5.0]",42NWG,"[105.0, 5.0]","[20.563435704545455, 62.05955409523809]","{""type"":""MultiPoint"",""coordinates"":[]}"
152,"[105.0, 5.0]",42NWH,"[105.0, 5.0]","[39.14153099999999, 43.2064746511628]","{""type"":""MultiPoint"",""coordinates"":[]}"
153,"[5.0, 105.0]",42NWJ,"[5.0, 105.0]","[24.877134295454553, 59.95168245454545]","{""type"":""MultiPoint"",""coordinates"":[]}"
154,"[5.0, 105.0]",42NWK,"[5.0, 105.0]","[8.874455933333337, 79.20006323255814]","{""type"":""MultiPoint"",""coordinates"":[]}"
155,"[5.0, 105.0]",42NWL,"[5.0, 105.0]","[2.2610236046511627, 96.78789369047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
156,[5.0],42NWM,[5.0],[1.9098737441860465],"{""type"":""MultiPoint"",""coordinates"":[]}"
157,[5.0],42NWN,[5.0],[28.61541878571428],"{""type"":""MultiPoint"",""coordinates"":[]}"
158,"[105.0, 5.0]",42NXK,"[105.0, 5.0]","[4.9139534883720925E-5, 92.73263415555557]","{""type"":""MultiPoint"",""coordinates"":[]}"
159,"[105.0, 5.0]",42NXL,"[105.0, 5.0]","[8.221431279069765, 72.85926660465117]","{""type"":""MultiPoint"",""coordinates"":[]}"
160,"[105.0, 5.0]",42NXM,"[105.0, 5.0]","[29.214498840909098, 53.13963339534883]","{""type"":""MultiPoint"",""coordinates"":[]}"
161,"[5.0, 105.0]",42NXN,"[5.0, 105.0]","[66.65346438095239, 73.63034590697674]","{""type"":""MultiPoint"",""coordinates"":[]}"
162,[5.0],41KLT,[5.0],[96.64299233333334],"{""type"":""MultiPoint"",""coordinates"":[]}"
163,[5.0],41KLU,[5.0],[78.2069376666667],"{""type"":""MultiPoint"",""coordinates"":[]}"
164,[5.0],41KMT,[5.0],[78.88876964285711],"{""type"":""MultiPoint"",""coordinates"":[]}"
165,[5.0],41KMU,[5.0],[26.76903864285715],"{""type"":""MultiPoint"",""coordinates"":[]}"
166,[5.0],41KNT,[5.0],[58.411232952380956],"{""type"":""MultiPoint"",""coordinates"":[]}"
167,[5.0],41KNU,[5.0],[46.5821964047619],"{""type"":""MultiPoint"",""coordinates"":[]}"
168,[5.0],41KPT,[5.0],[63.34441661904762],"{""type"":""MultiPoint"",""coordinates"":[]}"
169,[5.0],41KPU,[5.0],[76.09505207142858],"{""type"":""MultiPoint"",""coordinates"":[]}"
170,"[120.0, 20.0, 77.0]",42VWK,"[120.0, 20.0]","[6.899048863636366, 12.655867697674422, 84.96275531818183]","{""type"":""MultiPoint"",""coordinates"":[]}"
171,"[77.0, 120.0, 20.0]",42VXK,"[77.0, 120.0]","[4.32953425, 10.769445755555555, 91.3038753846154]","{""type"":""MultiPoint"",""coordinates"":[]}"
172,"[120.0, 77.0, 20.0]",42VXL,"[120.0, 77.0]","[7.585882780487804, 19.91354615, 61.99765394736841]","{""type"":""MultiPoint"",""coordinates"":[]}"
173,"[120.0, 20.0, 77.0]",42VXM,"[120.0, 20.0]","[10.428673170731706, 34.490765102564104, 41.96284613157894]","{""type"":""MultiPoint"",""coordinates"":[]}"
174,"[20.0, 120.0, 77.0]",42VXN,"[20.0, 120.0]","[4.0229483055555555, 12.277929170731706, 66.78743553846154]","{""type"":""MultiPoint"",""coordinates"":[]}"
175,"[120.0, 20.0, 63.0, 77.0]",42VXP,"[120.0, 20.0]","[5.445789405405406, 5.724491, 87.02647521212123, 88.24119192105263]","{""type"":""MultiPoint"",""coordinates"":[]}"
176,"[77.0, 120.0, 34.0]",43VCE,"[77.0, 120.0]","[4.645861750000001, 19.554807022222228, 80.65191139534882]","{""type"":""MultiPoint"",""coordinates"":[]}"
177,"[77.0, 120.0, 20.0]",43VCF,"[77.0, 120.0]","[3.60093945, 8.24643207317073, 95.73519178378379]","{""type"":""MultiPoint"",""coordinates"":[]}"
178,"[120.0, 77.0, 20.0]",43VCG,"[120.0, 77.0]","[10.536557024390241, 11.004027052631578, 64.66770776923076]","{""type"":""MultiPoint"",""coordinates"":[]}"
179,"[120.0, 20.0, 77.0]",43VCH,"[120.0, 20.0]","[12.629009634146339, 22.035072916666667, 44.44688261538462]","{""type"":""MultiPoint"",""coordinates"":[]}"
180,"[120.0, 20.0, 77.0, 63.0]",43VCJ,"[120.0, 20.0]","[5.746424918918918, 6.043590108108108, 74.50023799999998, 96.11370006060606]","{""type"":""MultiPoint"",""coordinates"":[]}"
181,"[120.0, 20.0, 63.0, 77.0]",43VCK,"[120.0, 20.0]","[0.42448161764705883, 2.4505593142857145, 61.629946272727274, 97.76341731249998]","{""type"":""MultiPoint"",""coordinates"":[]}"
182,"[34.0, 77.0, 134.0]",43VDD,"[34.0, 77.0]","[3.8488861395348843, 4.387168, 95.8198627857143]","{""type"":""MultiPoint"",""coordinates"":[]}"
183,"[77.0, 34.0, 120.0]",43VDE,"[77.0, 34.0]","[7.691501795454545, 7.704729340909094, 93.63092215]","{""type"":""MultiPoint"",""coordinates"":[]}"
184,"[77.0, 34.0, 120.0]",43VDF,"[77.0, 34.0]","[2.278563076923077, 24.785427975609757, 62.38860202564101]","{""type"":""MultiPoint"",""coordinates"":[]}"
185,"[77.0, 120.0, 34.0]",43VDG,"[77.0, 120.0]","[2.713243789473684, 28.917553282051276, 48.22111894594593]","{""type"":""MultiPoint"",""coordinates"":[]}"
186,"[77.0, 120.0, 34.0, 20.0]",43VDH,"[77.0, 120.0]","[6.626372615384616, 7.431433789473685, 76.01194013888887, 99.00503779999998]","{""type"":""MultiPoint"",""coordinates"":[]}"
187,"[77.0, 120.0, 20.0, 34.0]",43VDJ,"[77.0, 120.0]","[2.1129386111111113, 2.1151923142857143, 73.68178527777776, 97.69097913636364]","{""type"":""MultiPoint"",""coordinates"":[]}"
188,"[120.0, 77.0, 20.0]",43VDK,"[120.0, 77.0]","[0.8612802058823529, 15.071762485714284, 32.64964864705883]","{""type"":""MultiPoint"",""coordinates"":[]}"
189,"[120.0, 20.0, 77.0, 63.0]",43VDL,"[120.0, 20.0]","[2.9333333333333333E-5, 7.2851032857142854, 47.27662657142856, 97.14339081818181]","{""type"":""MultiPoint"",""coordinates"":[]}"
190,"[34.0, 134.0, 77.0]",43VED,"[34.0, 134.0]","[5.887854613636364, 13.46282825, 85.88688806818185]","{""type"":""MultiPoint"",""coordinates"":[]}"
191,"[34.0, 134.0, 77.0]",43VEE,"[34.0, 134.0]","[7.165976093023256, 34.059425390243916, 57.04745079069768]","{""type"":""MultiPoint"",""coordinates"":[]}"
192,"[34.0, 77.0, 134.0]",43VEF,"[34.0, 77.0]","[5.617199153846154, 21.010092631578942, 59.3127883157895]","{""type"":""MultiPoint"",""coordinates"":[]}"
