system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[91.0, 134.0]",42SWC,"[91.0, 134.0]","[20.20941211627907, 22.258472860465112]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[134.0, 91.0]",42SWD,"[134.0, 91.0]","[7.670339931818182, 39.637527953488366]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[134.0, 91.0]",42SWE,"[134.0, 91.0]","[1.9518983095238094, 58.7486607857143]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[134.0, 91.0]",42SWF,"[134.0, 91.0]","[4.199540744186046, 79.134208]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[134.0, 91.0]",42SWG,"[134.0, 91.0]","[4.100591162790699, 96.10493390476192]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,[91.0],42SXA,[91.0],[2.666666666666667E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
6,[91.0],42SXB,[91.0],[2.857142857142857E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[91.0, 134.0]",42SXC,"[91.0, 134.0]","[1.9837294418604654, 99.89071251219512]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[91.0, 134.0]",42SXD,"[91.0, 134.0]","[2.094661139534884, 88.0965907906977]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[91.0, 134.0]",42SXE,"[91.0, 134.0]","[7.628571428571431E-5, 66.43939792857141]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[91.0, 134.0]",42SXF,"[91.0, 134.0]","[3.7374133409090913, 45.34650360465116]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[91.0, 134.0]",42SXG,"[91.0, 134.0]","[9.284056790697674, 22.88829445238095]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[134.0, 91.0]",42SXH,"[134.0, 91.0]","[2.516487512195121, 29.22597579545454]","{""type"":""MultiPoint"",""coordinates"":[]}"
