system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,[24.0],22MDD,[24.0],[1.9090850232558148],"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[24.0, 67.0]",22MDE,"[24.0, 67.0]","[8.904761904761905E-6, 95.1977193333333]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[24.0, 124.0]",22MDS,"[24.0, 124.0]","[6.005185372093024, 76.90424511904762]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[24.0, 124.0]",22MDT,"[24.0, 124.0]","[1.9049565116279075, 95.4847564878049]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,[24.0],22MDU,[24.0],[5.952380952380952E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
5,[24.0],22MDV,[24.0],[9.999999999999997E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[24.0, 124.0]",22MEA,"[24.0, 124.0]","[12.904293999999998, 68.0369106190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[24.0, 124.0]",22MEB,"[24.0, 124.0]","[0.3382888333333335, 87.82044636585366]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,[24.0],22MEC,[24.0],[2.2037715348837215],"{""type"":""MultiPoint"",""coordinates"":[]}"
9,[24.0],22MED,[24.0],[1.9297274186046522],"{""type"":""MultiPoint"",""coordinates"":[]}"
10,[24.0],22MEE,[24.0],[1.1261904761904766E-5],"{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[124.0, 24.0]",22MES,"[124.0, 24.0]","[1.9560963809523808, 92.70121073809526]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[124.0, 24.0]",22MET,"[124.0, 24.0]","[6.560657170731707, 73.6307779767442]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[124.0, 24.0]",22MEU,"[124.0, 24.0]","[26.43085914634146, 53.09773428571428]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[24.0, 124.0]",22MEV,"[24.0, 124.0]","[33.01355161904761, 48.00157669047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[124.0, 24.0]",22MFA,"[124.0, 24.0]","[1.9540992857142858, 98.86695814285716]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[124.0, 24.0]",22MFB,"[124.0, 24.0]","[1.4085584878048782, 83.8650400714286]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[124.0, 24.0]",22MFC,"[124.0, 24.0]","[17.117293268292677, 64.37483009302328]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[124.0, 24.0]",22MFD,"[124.0, 24.0]","[37.45532209756097, 44.784742418604644]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[24.0, 124.0]",22MFE,"[24.0, 124.0]","[23.398810166666664, 57.72006875609759]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[67.0, 24.0]",22NCF,"[67.0, 24.0]","[2.332269666666667, 94.89692830952382]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[24.0, 67.0]",22NDF,"[24.0, 67.0]","[5.854074928571428, 76.22075997560978]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[24.0, 67.0]",22NDG,"[24.0, 67.0]","[25.210177880952383, 56.02527256097562]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[67.0, 24.0]",22NDH,"[67.0, 24.0]","[35.78519958536585, 45.34945197619046]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[67.0, 24.0]",22NDJ,"[67.0, 24.0]","[15.484650146341458, 65.46372599999998]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[67.0, 24.0]",22NDK,"[67.0, 24.0]","[0.9037198048780486, 85.96563826190477]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,[24.0],22NEF,[24.0],[7.857142857142856E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
27,[24.0],22NEG,[24.0],[5.357142857142856E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
28,[24.0],22NEH,[24.0],[7.142857142857144E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[24.0, 67.0]",22NEJ,"[24.0, 67.0]","[0.0, 99.5251046097561]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[24.0, 67.0]",22NEK,"[24.0, 67.0]","[17.482849333333338, 86.26861295121952]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[24.0, 124.0]",22NFF,"[24.0, 124.0]","[4.6260502857142844, 80.66740231707315]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,[24.0],22NFG,[24.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
33,[24.0],22NFH,[24.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
34,[24.0],22NFJ,[24.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
35,[24.0],22NFK,[24.0],[35.77776597619048],"{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[124.0, 24.0]",22NGF,"[124.0, 24.0]","[29.480946365853665, 93.62533447619049]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,[24.0],22NGG,[24.0],[74.13899447619048],"{""type"":""MultiPoint"",""coordinates"":[]}"
38,[24.0],22NGH,[24.0],[54.03034204761905],"{""type"":""MultiPoint"",""coordinates"":[]}"
39,[24.0],22NGJ,[24.0],[33.948496000000006],"{""type"":""MultiPoint"",""coordinates"":[]}"
40,[24.0],22NGK,[24.0],[64.4639074047619],"{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[67.0, 24.0]",20GMT,"[67.0, 24.0]","[0.0, 66.14898061904762]","{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[67.0, 24.0]",20GMU,"[67.0, 24.0]","[2.439024390243902E-7, 76.97576709523807]","{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[67.0, 24.0, 110.0]",20GMV,"[67.0, 24.0]","[0.0, 97.5014664074074, 97.97285360465116]","{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[67.0, 24.0]",20GNA,"[67.0, 24.0]","[7.317073170731708E-8, 43.55341697916666]","{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[67.0, 24.0]",20GNS,"[67.0, 24.0]","[67.36008985365856, 96.01115335714287]","{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[24.0, 67.0]",20GNT,"[24.0, 67.0]","[8.335330595238094, 45.11181112195121]","{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[24.0, 67.0]",20GNU,"[24.0, 67.0]","[5.822857142857143E-4, 22.69773629268292]","{""type"":""MultiPoint"",""coordinates"":[]}"
