system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[65.0, 108.0, 22.0]",33VWG,"[65.0, 108.0]","[7.621620595238095, 13.753428499999998, 64.6763265121951]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[22.0, 122.0, 65.0]",33VXC,"[22.0, 122.0]","[2.188358928571429, 12.556973790697677, 91.45488833333336]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[22.0, 122.0, 65.0]",33VXD,"[22.0, 122.0]","[1.2926829268292684E-6, 32.77142019047619, 63.62373613636365]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[22.0, 65.0, 122.0]",33VXE,"[22.0, 65.0]","[1.4847993658536587, 41.93904783333334, 55.24724235714286]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[65.0, 22.0, 122.0]",33VXF,"[65.0, 22.0]","[8.48117068292683, 11.339023804347827, 79.28854310869566]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[22.0, 65.0, 108.0, 122.0]",33VXG,"[22.0, 65.0]","[6.458573195121952, 6.696528048780489, 95.36972805128205, 96.43694182608697]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[65.0, 22.0, 108.0]",33VXH,"[65.0, 22.0]","[3.256610184210526, 4.318994368421052, 69.01620025641026]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[65.0, 22.0, 108.0]",33VXJ,"[65.0, 22.0]","[8.648330657894737, 29.746045205128194, 39.656510973684206]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[22.0, 122.0, 65.0]",34VCJ,"[22.0, 122.0]","[0.01948209756097561, 1.9430639523809525, 99.97711365]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[122.0, 22.0, 65.0]",34VCK,"[122.0, 22.0]","[7.7815257073170745, 8.564452954545454, 82.95812532608697]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[22.0, 122.0, 65.0]",34VCL,"[22.0, 122.0]","[13.58643765957447, 44.946860851063825, 45.71828807142859]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[22.0, 65.0, 122.0]",34VCM,"[22.0, 65.0]","[6.833119439024391, 13.97232407317073, 71.45946544444442]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[22.0, 65.0, 108.0, 122.0]",34VCN,"[22.0, 65.0]","[2.332477710526316, 3.5072616052631576, 90.07598017948719, 94.54325737837836]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[65.0, 22.0, 108.0]",34VCP,"[65.0, 22.0]","[11.259698076923078, 17.227003717948723, 53.517236]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[65.0, 108.0, 22.0]",34VCQ,"[65.0, 108.0]","[7.92489864864865, 12.719303771428573, 43.64013080555557]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[22.0, 122.0, 65.0]",34VDM,"[22.0, 122.0]","[5.81722465, 6.185850349999999, 91.82734710526319]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[22.0, 122.0, 65.0]",34VDN,"[22.0, 122.0]","[3.6256693947368426, 13.336852333333335, 58.42339976315788]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[22.0, 65.0, 122.0]",34VDP,"[22.0, 65.0]","[9.445150578947368, 25.278238394736842, 42.10308813157895]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[22.0, 65.0, 122.0, 108.0]",34VDQ,"[22.0, 65.0]","[4.711779171428571, 9.656747702702702, 68.39670761764704, 93.03729176470587]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[22.0, 65.0, 108.0, 122.0]",34VDR,"[22.0, 65.0]","[1.5813668484848484, 8.189290805555556, 55.17106060606062, 94.64497800000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[22.0, 122.0, 65.0]",34VER,"[22.0, 122.0]","[2.5512341515151515, 16.871198216216218, 36.8020908]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[22.0, 65.0, 122.0, 108.0]",34WES,"[22.0, 65.0]","[2.8591624242424243, 5.6409762121212115, 42.670325216216234, 96.32882697142858]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[65.0, 22.0, 108.0, 122.0]",34WET,"[65.0, 22.0]","[4.936577151515152, 5.415020666666667, 63.97199936363637, 66.72719615151514]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[65.0, 22.0]",30NYL,"[65.0, 22.0]","[10.915707666666666, 71.90470145238093]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[65.0, 22.0]",30NYM,"[65.0, 22.0]","[1.9894259534883727, 89.1176158095238]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,[22.0],30NZK,[22.0],[84.01601347619047],"{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[22.0, 65.0]",30NZL,"[22.0, 65.0]","[1.3174788095238097, 98.1583621190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[22.0, 65.0]",30NZM,"[22.0, 65.0]","[3.860940093023254, 82.40368037209304]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[22.0, 65.0]",30NZN,"[22.0, 65.0]","[19.137455046511622, 64.16486942222224]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[22.0, 65.0]",30NZP,"[22.0, 65.0]","[38.072994930232554, 43.445524488372094]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[65.0, 22.0]",30PZQ,"[65.0, 22.0]","[22.587081880952386, 57.75451636363637]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[65.0, 22.0]",30PZR,"[65.0, 22.0]","[4.358841261904762, 76.51094731111111]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[65.0, 22.0]",30PZS,"[65.0, 22.0]","[2.5904761904761905E-5, 93.56975414285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,[22.0],31NBE,[22.0],[70.8117285],"{""type"":""MultiPoint"",""coordinates"":[]}"
34,[22.0],31NBF,[22.0],[0.0010745000000000002],"{""type"":""MultiPoint"",""coordinates"":[]}"
35,[22.0],31NBG,[22.0],[1.9313991395348837],"{""type"":""MultiPoint"",""coordinates"":[]}"
36,[22.0],31NBH,[22.0],[4.411120704545454],"{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[22.0, 65.0]",31NBJ,"[22.0, 65.0]","[1.9098177209302327, 96.44627711904765]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,[22.0],31NCE,[22.0],[57.37317119047618],"{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[22.0, 122.0]",31NCF,"[22.0, 122.0]","[2.0150031904761905, 95.1755619512195]","{""type"":""MultiPoint"",""coordinates"":[]}"
40,[22.0],31NCG,[22.0],[1.9041701627906977],"{""type"":""MultiPoint"",""coordinates"":[]}"
41,[22.0],31NCH,[22.0],[2.0583563953488375],"{""type"":""MultiPoint"",""coordinates"":[]}"
42,[22.0],31NCJ,[22.0],[6.2936711999999995],"{""type"":""MultiPoint"",""coordinates"":[]}"
43,[22.0],31NDE,[22.0],[99.94509773809526],"{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[122.0, 22.0]",31NDF,"[122.0, 22.0]","[49.625812926829276, 89.28629688095238]","{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[122.0, 22.0]",31NDG,"[122.0, 22.0]","[11.226017097560977, 69.37680209302327]","{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[122.0, 22.0]",31NDH,"[122.0, 22.0]","[31.35179939024391, 49.19108176744186]","{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[22.0, 122.0]",31NDJ,"[22.0, 122.0]","[30.45401363636363, 51.44571068292682]","{""type"":""MultiPoint"",""coordinates"":[]}"
48,"[22.0, 65.0]",31PBK,"[22.0, 65.0]","[8.947878311111111, 77.608381]","{""type"":""MultiPoint"",""coordinates"":[]}"
49,"[22.0, 65.0]",31PBL,"[22.0, 65.0]","[25.922405111111114, 56.36868269047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[65.0, 22.0]",31PBM,"[65.0, 22.0]","[35.063358047619055, 42.2236921904762]","{""type"":""MultiPoint"",""coordinates"":[]}"
51,"[65.0, 22.0]",31PBN,"[65.0, 22.0]","[15.439008511627907, 62.80907923809522]","{""type"":""MultiPoint"",""coordinates"":[]}"
52,"[65.0, 22.0]",31PBP,"[65.0, 22.0]","[7.949500086956521, 83.4104765238095]","{""type"":""MultiPoint"",""coordinates"":[]}"
53,[22.0],31PCK,[22.0],[7.484485195652175],"{""type"":""MultiPoint"",""coordinates"":[]}"
54,[22.0],31PCL,[22.0],[5.737560111111111],"{""type"":""MultiPoint"",""coordinates"":[]}"
55,[22.0],31PCM,[22.0],[7.142857142857144E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
56,"[22.0, 65.0]",31PCN,"[22.0, 65.0]","[0.0, 98.99109681395346]","{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[22.0, 65.0]",31PCP,"[22.0, 65.0]","[0.29513257142857136, 84.30812471111112]","{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[22.0, 65.0]",31PCQ,"[22.0, 65.0]","[12.840252190476189, 62.84441655813953]","{""type"":""MultiPoint"",""coordinates"":[]}"
59,"[22.0, 65.0]",31PCR,"[22.0, 65.0]","[33.316877023809525, 41.73481874418605]","{""type"":""MultiPoint"",""coordinates"":[]}"
60,"[65.0, 22.0]",31PCS,"[65.0, 22.0]","[20.61471062790698, 53.79389457142855]","{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[65.0, 22.0]",31PCT,"[65.0, 22.0]","[4.008729534883722, 74.17802780952378]","{""type"":""MultiPoint"",""coordinates"":[]}"
62,"[22.0, 122.0]",31PDK,"[22.0, 122.0]","[16.23508910638298, 71.51536548780489]","{""type"":""MultiPoint"",""coordinates"":[]}"
63,"[22.0, 122.0]",31PDL,"[22.0, 122.0]","[4.006398431818182, 91.35178951219511]","{""type"":""MultiPoint"",""coordinates"":[]}"
64,[22.0],31PDM,[22.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
65,[22.0],31PDN,[22.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
66,[22.0],31PDP,[22.0],[5.952380952380952E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
67,[22.0],31PDQ,[22.0],[2.380952380952381E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
68,[22.0],31PDR,[22.0],[3.8095238095238096E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
69,"[22.0, 65.0]",31PDS,"[22.0, 65.0]","[7.142857142857144E-8, 99.93206833333335]","{""type"":""MultiPoint"",""coordinates"":[]}"
70,"[22.0, 65.0]",31PDT,"[22.0, 65.0]","[1.4285714285714287E-7, 88.60448566666666]","{""type"":""MultiPoint"",""coordinates"":[]}"
71,"[122.0, 22.0]",31PEK,"[122.0, 22.0]","[0.0, 96.4012128222222]","{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[122.0, 22.0]",31PEL,"[122.0, 22.0]","[2.945522243902439, 78.15455246511628]","{""type"":""MultiPoint"",""coordinates"":[]}"
73,"[122.0, 22.0]",31PEM,"[122.0, 22.0]","[24.905860113636365, 57.11981288095236]","{""type"":""MultiPoint"",""coordinates"":[]}"
74,"[22.0, 122.0]",31PEN,"[22.0, 122.0]","[36.52364854761905, 43.53455824999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[22.0, 122.0]",31PEP,"[22.0, 122.0]","[15.981460595238088, 60.525952428571436]","{""type"":""MultiPoint"",""coordinates"":[]}"
76,"[22.0, 122.0]",31PEQ,"[22.0, 122.0]","[1.021485642857143, 80.19802376744187]","{""type"":""MultiPoint"",""coordinates"":[]}"
77,"[22.0, 122.0]",31PER,"[22.0, 122.0]","[3.80952380952381E-7, 96.77126158536583]","{""type"":""MultiPoint"",""coordinates"":[]}"
78,[22.0],31PES,[22.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
79,[22.0],31PET,[22.0],[2.2671908837209305],"{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[122.0, 22.0]",31PFP,"[122.0, 22.0]","[2.2329039285714294, 99.60817957142854]","{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[122.0, 22.0]",31PFQ,"[122.0, 22.0]","[3.827464325581395, 86.60067023809525]","{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[122.0, 22.0]",31PFR,"[122.0, 22.0]","[11.824378000000001, 66.1239453095238]","{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[122.0, 22.0]",31PFS,"[122.0, 22.0]","[27.22320312195122, 45.71689802380953]","{""type"":""MultiPoint"",""coordinates"":[]}"
84,"[22.0, 122.0]",31PFT,"[22.0, 122.0]","[26.793082790697675, 46.50130765853658]","{""type"":""MultiPoint"",""coordinates"":[]}"
85,"[65.0, 22.0]",31QCU,"[65.0, 22.0]","[1.9031889767441863, 93.81032969047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
86,"[65.0, 22.0]",31QDA,"[65.0, 22.0]","[25.70701165116279, 45.16752820930232]","{""type"":""MultiPoint"",""coordinates"":[]}"
87,"[65.0, 22.0]",31QDB,"[65.0, 22.0]","[6.386547325581395, 65.4394277272727]","{""type"":""MultiPoint"",""coordinates"":[]}"
88,"[65.0, 22.0]",31QDC,"[65.0, 22.0]","[2.1833868837209303, 84.08747907142859]","{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[22.0, 65.0]",31QDU,"[22.0, 65.0]","[6.625927069767442, 67.75038532558139]","{""type"":""MultiPoint"",""coordinates"":[]}"
90,"[22.0, 65.0]",31QDV,"[22.0, 65.0]","[23.794972190476187, 47.714384454545446]","{""type"":""MultiPoint"",""coordinates"":[]}"
91,[22.0],31QEA,[22.0],[1.9167053488372092],"{""type"":""MultiPoint"",""coordinates"":[]}"
92,"[22.0, 65.0]",31QEB,"[22.0, 65.0]","[4.047401249999999, 93.38505302325585]","{""type"":""MultiPoint"",""coordinates"":[]}"
93,"[22.0, 65.0]",31QEC,"[22.0, 65.0]","[0.35580492857142854, 72.59206304761904]","{""type"":""MultiPoint"",""coordinates"":[]}"
94,"[22.0, 65.0]",31QED,"[22.0, 65.0]","[14.489809395348846, 52.19718011627908]","{""type"":""MultiPoint"",""coordinates"":[]}"
95,"[65.0, 22.0]",31QEE,"[65.0, 22.0]","[29.990358166666674, 32.56075764285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
96,"[65.0, 22.0]",31QEF,"[65.0, 22.0]","[10.719324093023255, 52.23478121428574]","{""type"":""MultiPoint"",""coordinates"":[]}"
97,"[65.0, 22.0]",31QEG,"[65.0, 22.0]","[3.910222181818182, 71.72437509523809]","{""type"":""MultiPoint"",""coordinates"":[]}"
98,[22.0],31QEU,[22.0],[1.9088407441860464],"{""type"":""MultiPoint"",""coordinates"":[]}"
99,[22.0],31QEV,[22.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
100,[22.0],31QFA,[22.0],[4.077756204545454],"{""type"":""MultiPoint"",""coordinates"":[]}"
101,[22.0],31QFB,[22.0],[1.90810988372093],"{""type"":""MultiPoint"",""coordinates"":[]}"
102,[22.0],31QFC,[22.0],[2.2345956046511626],"{""type"":""MultiPoint"",""coordinates"":[]}"
103,[22.0],31QFD,[22.0],[1.9175674651162793],"{""type"":""MultiPoint"",""coordinates"":[]}"
104,[22.0],31QFE,[22.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
105,"[22.0, 65.0]",31QFF,"[22.0, 65.0]","[0.0, 97.04486069767444]","{""type"":""MultiPoint"",""coordinates"":[]}"
106,"[22.0, 65.0]",31QFG,"[22.0, 65.0]","[5.714285714285715E-7, 79.14634597674417]","{""type"":""MultiPoint"",""coordinates"":[]}"
107,"[22.0, 122.0]",31QFU,"[22.0, 122.0]","[7.898018767441862, 66.32791476190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
108,"[22.0, 122.0]",31QFV,"[22.0, 122.0]","[0.0, 84.94300857142856]","{""type"":""MultiPoint"",""coordinates"":[]}"
109,"[122.0, 22.0]",31QGA,"[122.0, 22.0]","[15.865693930232553, 57.32980663636363]","{""type"":""MultiPoint"",""coordinates"":[]}"
110,"[122.0, 22.0]",31QGB,"[122.0, 22.0]","[33.93150427906977, 36.99164427906975]","{""type"":""MultiPoint"",""coordinates"":[]}"
111,"[22.0, 122.0]",31QGC,"[22.0, 122.0]","[17.305340209302326, 50.89170378571428]","{""type"":""MultiPoint"",""coordinates"":[]}"
112,"[22.0, 122.0]",31QGD,"[22.0, 122.0]","[3.2411158837209317, 68.98425107142859]","{""type"":""MultiPoint"",""coordinates"":[]}"
113,"[22.0, 122.0]",31QGE,"[22.0, 122.0]","[2.3809523809523811E-7, 87.10182139534885]","{""type"":""MultiPoint"",""coordinates"":[]}"
114,[22.0],31QGF,[22.0],[5.952380952380953E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
115,[22.0],31QGG,[22.0],[3.0952380952380955E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
116,"[122.0, 22.0]",31QGU,"[122.0, 22.0]","[4.183934813953488, 94.88720652380952]","{""type"":""MultiPoint"",""coordinates"":[]}"
117,"[122.0, 22.0]",31QGV,"[122.0, 22.0]","[2.340428904761904, 75.8122885952381]","{""type"":""MultiPoint"",""coordinates"":[]}"
118,"[122.0, 22.0]",31QHC,"[122.0, 22.0]","[1.9554815714285714, 99.617395]","{""type"":""MultiPoint"",""coordinates"":[]}"
119,"[122.0, 22.0]",31QHD,"[122.0, 22.0]","[1.9652159047619047, 86.99248216666668]","{""type"":""MultiPoint"",""coordinates"":[]}"
120,"[122.0, 22.0]",31QHE,"[122.0, 22.0]","[4.854087395348838, 67.27541814285713]","{""type"":""MultiPoint"",""coordinates"":[]}"
121,"[122.0, 22.0]",31QHF,"[122.0, 22.0]","[15.37230183333333, 47.75228669047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
122,"[22.0, 122.0]",31QHG,"[22.0, 122.0]","[28.32418530952381, 32.840145261904766]","{""type"":""MultiPoint"",""coordinates"":[]}"
123,"[65.0, 22.0]",31REH,"[65.0, 22.0]","[7.142857142857144E-8, 91.05431623809525]","{""type"":""MultiPoint"",""coordinates"":[]}"
124,"[22.0, 65.0]",31RFH,"[22.0, 65.0]","[2.676447095238095, 57.65834773809526]","{""type"":""MultiPoint"",""coordinates"":[]}"
125,"[22.0, 65.0]",31RFJ,"[22.0, 65.0]","[19.262847571428573, 36.73600395238094]","{""type"":""MultiPoint"",""coordinates"":[]}"
126,[22.0],31RGH,[22.0],[2.1428571428571428E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
127,[22.0],31RGJ,[22.0],[2.269985581395349],"{""type"":""MultiPoint"",""coordinates"":[]}"
