system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,[106.0],37KEQ,[106.0],[3.7416151777777777],"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[106.0, 63.0]",37KFP,"[106.0, 63.0]","[47.23313695454545, 57.795707204545465]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[106.0, 63.0]",37KFQ,"[106.0, 63.0]","[1.860165, 79.50012806976746]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[106.0, 63.0]",37KFR,"[106.0, 63.0]","[5.340791847826087, 97.47864]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,[106.0],37KFS,[106.0],[2.2154348863636364],"{""type"":""MultiPoint"",""coordinates"":[]}"
5,[106.0],37KFT,[106.0],[1.627906976744186E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
6,[106.0],37KFU,[106.0],[1.861940181818182],"{""type"":""MultiPoint"",""coordinates"":[]}"
7,[106.0],37KFV,[106.0],[6.976744186046512E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
8,[106.0],37KGA,[106.0],[4.651162790697675E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
9,[106.0],37KGB,[106.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[63.0, 106.0]",37KGP,"[63.0, 106.0]","[3.7346102727272723, 91.81894052272725]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[63.0, 106.0]",37KGQ,"[63.0, 106.0]","[2.2496120930232566, 71.18905846666668]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[63.0, 106.0]",37KGR,"[63.0, 106.0]","[11.233982428571428, 51.40094173913043]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[106.0, 63.0]",37KGS,"[106.0, 63.0]","[27.137045581395352, 35.75020937209303]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[106.0, 63.0]",37KGT,"[106.0, 63.0]","[6.446474906976743, 58.15291597674418]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[106.0, 63.0]",37KGU,"[106.0, 63.0]","[1.8580907727272729, 80.44677433333335]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,[106.0],37KGV,[106.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[106.0, 63.0]",37KHA,"[106.0, 63.0]","[31.975344534883725, 37.757491250000015]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[106.0, 63.0]",37KHB,"[106.0, 63.0]","[10.39675846511628, 60.656896911111104]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[63.0, 106.0]",37KHT,"[63.0, 106.0]","[2.1295116976744186, 95.28065843181821]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[63.0, 106.0]",37KHU,"[63.0, 106.0]","[0.0819647142857143, 75.64231995454543]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[63.0, 106.0]",37KHV,"[63.0, 106.0]","[12.356345214285714, 53.56840858139535]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,[106.0],37LGC,[106.0],[6.976744186046512E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
23,[106.0],37LGD,[106.0],[1.8622589318181817],"{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[106.0, 63.0]",37LHC,"[106.0, 63.0]","[2.033065704545454, 81.78051806818183]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,[106.0],37LHD,[106.0],[1.9732846363636363],"{""type"":""MultiPoint"",""coordinates"":[]}"
26,[106.0],37LHE,[106.0],[1.627906976744186E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
27,[106.0],37LHF,[106.0],[6.976744186046512E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
28,[106.0],37LHG,[106.0],[2.3255813953488374E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
29,[106.0],37LHH,[106.0],[2.052299931818182],"{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[106.0, 6.0]",37LHJ,"[106.0, 6.0]","[5.418294760869565, 99.99591469999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[63.0, 106.0]",38KKD,"[63.0, 106.0]","[0.0, 98.58151162790693]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[63.0, 106.0]",38KKE,"[63.0, 106.0]","[0.0, 84.18824881395348]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,"[63.0, 106.0]",38KKF,"[63.0, 106.0]","[7.325160704545457, 65.70885358139533]","{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[63.0, 106.0]",38KKG,"[63.0, 106.0]","[26.2198476, 47.03687502325581]","{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[106.0, 63.0]",38LKH,"[106.0, 63.0]","[29.58623975, 43.99584836363636]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[106.0, 63.0]",38LKJ,"[106.0, 63.0]","[11.237159318181819, 62.69556867441861]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[106.0, 63.0]",38LKK,"[106.0, 63.0]","[0.020113813953488373, 82.44044376744186]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,[106.0],38LKL,[106.0],[6.976744186046512E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
39,[106.0],38LKM,[106.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
40,[106.0],38LKN,[106.0],[1.903743659090909],"{""type"":""MultiPoint"",""coordinates"":[]}"
41,[106.0],38LKP,[106.0],[5.5815880652173915],"{""type"":""MultiPoint"",""coordinates"":[]}"
42,[106.0],38LKQ,[106.0],[72.5909581627907],"{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[63.0, 106.0]",38LLJ,"[63.0, 106.0]","[4.018457977272728, 97.57406448837209]","{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[63.0, 106.0]",38LLK,"[63.0, 106.0]","[2.033336162790698, 81.30787904651162]","{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[63.0, 106.0]",38LLL,"[63.0, 106.0]","[11.299420714285715, 62.093132279069756]","{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[63.0, 106.0]",38LLM,"[63.0, 106.0]","[36.57288480434784, 42.76464865116279]","{""type"":""MultiPoint"",""coordinates"":[]}"
