system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[7.0, 107.0, 64.0, 50.0]",37WFM,"[7.0, 107.0]","[7.217270000000002, 8.898491111111111, 39.17114851515151, 95.80830075757575]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[7.0, 107.0, 64.0, 50.0]",37WFN,"[7.0, 107.0]","[5.565840176470588, 7.315321571428569, 64.4124941875, 64.77051990625]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[7.0, 107.0, 50.0, 64.0]",37WFP,"[7.0, 107.0]","[0.8349205000000001, 4.3587951515151495, 25.804569161290324, 89.9232535483871]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[64.0, 107.0, 21.0, 7.0]",38VLP,"[64.0, 107.0]","[5.944942135135134, 6.374677861111111, 64.90401755263159, 99.10512325714285]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[64.0, 107.0, 7.0, 21.0]",38VLQ,"[64.0, 107.0]","[0.7902237058823529, 8.93600507894737, 71.2084548, 92.96186545714285]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[107.0, 64.0, 7.0]",38VLR,"[107.0, 64.0]","[5.1472728, 12.666599060606062, 29.29798037142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[64.0, 107.0, 21.0, 7.0]",38VMR,"[64.0, 107.0]","[0.09439433333333333, 8.823419235294118, 36.957601499999996, 99.39545863636364]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[64.0, 107.0, 21.0, 7.0]",38WMS,"[64.0, 107.0]","[2.630500545454545, 9.368602916666665, 70.64692788888888, 74.06392142857145]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[64.0, 107.0, 7.0, 21.0]",38WMT,"[64.0, 107.0]","[2.71835284375, 7.901758057142856, 28.01077590625, 95.85729102941178]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[7.0, 107.0, 64.0, 50.0]",38WMU,"[7.0, 107.0]","[2.54376346875, 4.928904000000001, 28.325021225806456, 85.81128135483868]","{""type"":""MultiPoint"",""coordinates"":[]}"
