system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[137.0, 37.0]",30TUM,"[137.0, 37.0]","[6.5000000000000004E-6, 92.56667385714285]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[137.0, 37.0]",30TUN,"[137.0, 37.0]","[6.447619047619047E-5, 65.95911804761903]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[137.0, 37.0]",30TUP,"[137.0, 37.0]","[3.7213333409090907, 37.670341595238085]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[137.0, 37.0]",30TUQ,"[137.0, 37.0]","[0.9969274285714287, 10.179361476190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[37.0, 137.0]",30TUR,"[37.0, 137.0]","[2.380952380952381E-7, 20.126825209302325]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[37.0, 137.0]",30TUS,"[37.0, 137.0]","[3.095238095238095E-7, 43.294179000000014]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[137.0, 37.0]",30TVR,"[137.0, 37.0]","[1.9032778372093022, 72.7996497142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[137.0, 37.0]",30TVS,"[137.0, 37.0]","[5.269047619047619E-4, 44.99655680952382]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[137.0, 37.0]",30TVT,"[137.0, 37.0]","[7.142857142857144E-8, 17.331074404761903]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[37.0, 137.0]",30UVU,"[37.0, 137.0]","[0.4017344523809521, 3.983137047619048]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[37.0, 137.0]",30UVV,"[37.0, 137.0]","[1.8963915348837213, 25.444511190476184]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[137.0, 37.0]",30UWA,"[137.0, 37.0]","[1.9676670930232558, 26.191265547619054]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[137.0, 37.0]",30UWV,"[137.0, 37.0]","[6.952380952380952E-6, 54.3516365116279]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,[37.0],25FEA,[37.0],[91.1218075],"{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[37.0, 94.0]",25FEU,"[37.0, 94.0]","[42.29785228571429, 71.63706006060606]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[37.0, 94.0]",25FEV,"[37.0, 94.0]","[62.156413828571424, 96.959478]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[94.0, 37.0]",25FFV,"[94.0, 37.0]","[94.665176, 98.9751305]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,[109.0],40XET,[109.0],[97.3385262],"{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[52.0, 109.0]",28VFP,"[52.0, 109.0]","[88.66343467647057, 88.94815322857144]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[52.0, 109.0, 9.0]",28VFQ,"[52.0, 109.0]","[13.355566058823527, 40.12201399999999, 99.824512]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[109.0, 52.0]",29VLJ,"[109.0, 52.0]","[84.75328100000002, 89.69471179411764]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[52.0, 109.0, 9.0]",29VLK,"[52.0, 109.0]","[18.546219029411766, 33.13473916666666, 98.908365]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[66.0, 109.0]",29VMJ,"[66.0, 109.0]","[29.984179921052636, 52.37776458333333]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[66.0, 109.0, 9.0]",28VFH,"[66.0, 109.0]","[3.7881876976744198, 95.72215425581392, 99.992228]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[66.0, 109.0]",26PPC,"[66.0, 109.0]","[27.50183048837209, 99.70565741860463]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,[109.0],26QLD,[109.0],[92.72044525581397],"{""type"":""MultiPoint"",""coordinates"":[]}"
26,[109.0],26QLE,[109.0],[93.77628060465118],"{""type"":""MultiPoint"",""coordinates"":[]}"
27,[109.0],26QMD,[109.0],[51.834084395348846],"{""type"":""MultiPoint"",""coordinates"":[]}"
28,[109.0],26QME,[109.0],[33.58851223255815],"{""type"":""MultiPoint"",""coordinates"":[]}"
29,[109.0],26QND,[109.0],[32.233251720930234],"{""type"":""MultiPoint"",""coordinates"":[]}"
30,[109.0],26QNE,[109.0],[50.26314916279071],"{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[109.0, 66.0]",26QPD,"[109.0, 66.0]","[34.40762995348839, 46.47318188372092]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[109.0, 66.0]",26QPE,"[109.0, 66.0]","[74.6451161860465, 77.80754855813949]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,"[138.0, 95.0, 38.0, 81.0, 52.0, 124.0]",29XNA,"[138.0, 95.0]","[0.012475214285714286, 4.903984866666666, 11.03591082352941, 34.09152566666667, 63.05504439999999, 93.90083114285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[52.0, 95.0, 138.0, 38.0, 81.0, 124.0]",31XDD,"[52.0, 95.0]","[0.015215999999999999, 1.4654610000000001, 12.282359866666667, 12.441367800000002, 62.912648533333325, 96.91816214285714]","{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[95.0, 52.0, 138.0, 38.0, 66.0, 81.0]",31XED,"[95.0, 52.0]","[5.969242357142858, 6.605649266666668, 30.5506076, 79.86457433333334, 99.066585, 99.99931940000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[95.0, 138.0, 52.0, 38.0, 81.0, 109.0, 124.0, 9.0]",31XEE,"[95.0, 138.0]","[0.019058153846153846, 0.02858723076923077, 10.512024812499998, 20.611145133333334, 62.17751078571428, 93.813664, 95.072101, 99.493444]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[138.0, 38.0]",38XNT,"[138.0, 38.0]","[96.8927821111111, 97.10232028571428]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[81.0, 138.0, 38.0]",27VVK,"[81.0, 138.0]","[89.36262149999999, 91.79333632258067, 92.63584510344826]","{""type"":""MultiPoint"",""coordinates"":[]}"
39,[38.0],25SBC,[38.0],[95.61972233333336],"{""type"":""MultiPoint"",""coordinates"":[]}"
40,[38.0],25SCB,[38.0],[97.0478112857143],"{""type"":""MultiPoint"",""coordinates"":[]}"
41,[38.0],25SCC,[38.0],[13.2774715],"{""type"":""MultiPoint"",""coordinates"":[]}"
42,[38.0],25SCD,[38.0],[24.96647854761904],"{""type"":""MultiPoint"",""coordinates"":[]}"
43,[38.0],25SDB,[38.0],[77.7282791904762],"{""type"":""MultiPoint"",""coordinates"":[]}"
44,[38.0],25SDC,[38.0],[0.02516528571428571],"{""type"":""MultiPoint"",""coordinates"":[]}"
45,[38.0],25SDD,[38.0],[8.571428571428571E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[138.0, 38.0]",25SEB,"[138.0, 38.0]","[55.03222990476191, 64.79175447619048]","{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[38.0, 138.0]",25SEC,"[38.0, 138.0]","[5.287626500000002, 22.059181581395347]","{""type"":""MultiPoint"",""coordinates"":[]}"
48,"[38.0, 138.0]",25SED,"[38.0, 138.0]","[3.0952380952380955E-7, 42.19320420930233]","{""type"":""MultiPoint"",""coordinates"":[]}"
49,"[138.0, 38.0]",25SFC,"[138.0, 38.0]","[4.094931818181819, 93.6494990952381]","{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[138.0, 38.0]",25SFD,"[138.0, 38.0]","[1.908128953488372, 71.58315792857142]","{""type"":""MultiPoint"",""coordinates"":[]}"
51,[38.0],25TCE,[38.0],[48.03393945238095],"{""type"":""MultiPoint"",""coordinates"":[]}"
52,[38.0],25TCF,[38.0],[70.97591273809523],"{""type"":""MultiPoint"",""coordinates"":[]}"
53,[38.0],25TCG,[38.0],[94.96047461904762],"{""type"":""MultiPoint"",""coordinates"":[]}"
54,[38.0],25TDE,[38.0],[7.142857142857144E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
55,[38.0],25TDF,[38.0],[1.6666666666666668E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
56,[38.0],25TDG,[38.0],[74.40146528571428],"{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[38.0, 138.0]",25TEE,"[38.0, 138.0]","[1.4285714285714287E-7, 61.440549619047616]","{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[38.0, 138.0]",25TEF,"[38.0, 138.0]","[6.104144738095238, 83.78307033333333]","{""type"":""MultiPoint"",""coordinates"":[]}"
59,[38.0],25TEG,[38.0],[94.30363702380953],"{""type"":""MultiPoint"",""coordinates"":[]}"
60,"[138.0, 38.0]",25TFE,"[138.0, 38.0]","[0.0, 48.55116088095239]","{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[138.0, 38.0]",25TFF,"[138.0, 38.0]","[30.549790761904767, 47.83816240476191]","{""type"":""MultiPoint"",""coordinates"":[]}"
62,[38.0],23LMG,[38.0],[13.052348448979592],"{""type"":""MultiPoint"",""coordinates"":[]}"
63,[38.0],23LMH,[38.0],[14.84479649019608],"{""type"":""MultiPoint"",""coordinates"":[]}"
64,[38.0],23LMJ,[38.0],[5.468071088888889],"{""type"":""MultiPoint"",""coordinates"":[]}"
65,[38.0],23LMK,[38.0],[2.062795],"{""type"":""MultiPoint"",""coordinates"":[]}"
66,[38.0],23LML,[38.0],[2.0057319069767443],"{""type"":""MultiPoint"",""coordinates"":[]}"
67,"[138.0, 38.0]",23LNG,"[138.0, 38.0]","[40.004998400000005, 45.19584969387755]","{""type"":""MultiPoint"",""coordinates"":[]}"
68,"[38.0, 138.0]",23LNH,"[38.0, 138.0]","[27.338836375000003, 58.32279320930234]","{""type"":""MultiPoint"",""coordinates"":[]}"
69,"[38.0, 138.0]",23LNJ,"[38.0, 138.0]","[7.205509, 78.50881128571429]","{""type"":""MultiPoint"",""coordinates"":[]}"
70,"[38.0, 138.0]",23LNK,"[38.0, 138.0]","[1.9049787674418608, 96.8654275714286]","{""type"":""MultiPoint"",""coordinates"":[]}"
71,[38.0],23LNL,[38.0],[2.134179720930233],"{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[138.0, 38.0]",23LPH,"[138.0, 38.0]","[1.9075192093023265, 99.90448846511629]","{""type"":""MultiPoint"",""coordinates"":[]}"
73,"[138.0, 38.0]",23LPJ,"[138.0, 38.0]","[1.4285714285714287E-7, 89.34336904545454]","{""type"":""MultiPoint"",""coordinates"":[]}"
74,"[138.0, 38.0]",23LPK,"[138.0, 38.0]","[10.387570883720931, 69.31111802325582]","{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[138.0, 38.0]",23LPL,"[138.0, 38.0]","[29.3293247142857, 49.452822]","{""type"":""MultiPoint"",""coordinates"":[]}"
76,[38.0],23MNM,[38.0],[1.9650829069767446],"{""type"":""MultiPoint"",""coordinates"":[]}"
77,[38.0],23MNN,[38.0],[2.642857142857143E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
78,[38.0],23MNP,[38.0],[1.9082665581395353],"{""type"":""MultiPoint"",""coordinates"":[]}"
79,[38.0],23MNQ,[38.0],[1.9083273488372092],"{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[38.0, 81.0]",23MNR,"[38.0, 81.0]","[1.3119047619047619E-5, 99.98354267741934]","{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[38.0, 138.0]",23MPM,"[38.0, 138.0]","[29.828693093023254, 50.23359419047618]","{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[38.0, 138.0]",23MPN,"[38.0, 138.0]","[8.120514547619047, 72.19582877272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[38.0, 138.0]",23MPP,"[38.0, 138.0]","[3.9000129090909095, 91.6516699047619]","{""type"":""MultiPoint"",""coordinates"":[]}"
84,[38.0],23MPQ,[38.0],[2.0008017906976745],"{""type"":""MultiPoint"",""coordinates"":[]}"
85,[38.0],23MPR,[38.0],[1.119047619047619E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
86,[38.0],23MPS,[38.0],[1.8809523809523805E-6],"{""type"":""MultiPoint"",""coordinates"":[]}"
87,[38.0],23MPT,[38.0],[5.476190476190476E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
88,[38.0],23MPU,[38.0],[40.06301847619047],"{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[138.0, 38.0]",23MQN,"[138.0, 38.0]","[3.731304568181818, 96.63929864285717]","{""type"":""MultiPoint"",""coordinates"":[]}"
90,"[138.0, 38.0]",23MQP,"[138.0, 38.0]","[3.301819619047618, 79.38772588636363]","{""type"":""MultiPoint"",""coordinates"":[]}"
91,"[138.0, 38.0]",23MQQ,"[138.0, 38.0]","[21.605324595238095, 58.28581890476192]","{""type"":""MultiPoint"",""coordinates"":[]}"
92,"[38.0, 138.0]",23MQR,"[38.0, 138.0]","[37.98130442857145, 42.288347571428574]","{""type"":""MultiPoint"",""coordinates"":[]}"
93,"[38.0, 138.0]",23MQS,"[38.0, 138.0]","[17.68990835714286, 62.88788985714285]","{""type"":""MultiPoint"",""coordinates"":[]}"
94,"[38.0, 138.0]",23MQT,"[38.0, 138.0]","[1.6435257142857143, 84.30730273809526]","{""type"":""MultiPoint"",""coordinates"":[]}"
95,[38.0],23MQU,[38.0],[60.96657592857142],"{""type"":""MultiPoint"",""coordinates"":[]}"
96,"[138.0, 38.0]",23MRS,"[138.0, 38.0]","[5.80952380952381E-6, 99.86883942857142]","{""type"":""MultiPoint"",""coordinates"":[]}"
97,"[138.0, 38.0]",23MRT,"[138.0, 38.0]","[21.433805047619042, 88.50093738095237]","{""type"":""MultiPoint"",""coordinates"":[]}"
98,[38.0],23MRU,[38.0],[94.08141126190476],"{""type"":""MultiPoint"",""coordinates"":[]}"
99,[38.0],22HEG,[38.0],[96.81696171428572],"{""type"":""MultiPoint"",""coordinates"":[]}"
