system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[110.0, 67.0, 10.0, 53.0, 96.0, 24.0, 139.0]",27XWC,"[110.0, 67.0]","[2.479747, 6.071178857142859, 6.299614827586207, 8.140248964285712, 58.82827755555555, 61.55582410714287, 98.56274746153846]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[10.0, 110.0, 53.0, 96.0, 67.0, 139.0, 39.0, 24.0]",27XWD,"[10.0, 110.0]","[0.013457555555555556, 0.9408641481481481, 4.9518268928571425, 7.648352555555556, 41.56307407407407, 48.92661853846153, 94.14373634615384, 96.19504350000003]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[96.0, 10.0, 139.0, 53.0, 110.0, 39.0, 82.0, 67.0, 125.0]",27XWE,"[96.0, 10.0]","[0.01916726923076923, 0.0888564814814815, 5.599331777777777, 5.788917714285715, 33.86689692592592, 45.873505058823525, 80.8138531153846, 89.91206044444446, 99.90437392000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[96.0, 53.0, 139.0, 82.0, 39.0, 10.0, 125.0, 110.0, 25.0]",27XWF,"[96.0, 53.0]","[0.028670730769230768, 6.953430925925926, 10.264061714285715, 11.171081884615386, 16.107577483870966, 33.51180503571429, 51.73984500000002, 86.10779834615383, 88.20161272000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[39.0, 82.0, 125.0, 139.0, 96.0, 25.0, 53.0, 68.0, 111.0, 10.0, 11.0]",27XWG,"[39.0, 82.0]","[0.04157168000000001, 3.1044866923076926, 3.743176640000001, 5.2704928846153845, 6.768693407407408, 13.920187479999997, 38.07987044000001, 53.75362948148149, 81.98906054166665, 87.90666567857144, 98.34427572]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[67.0, 24.0, 110.0, 124.0, 10.0, 81.0, 53.0]",28XDG,"[67.0, 24.0]","[3.0446431785714294, 3.2931897500000002, 8.075819892857142, 13.9190182, 69.58375165517239, 78.7402694, 99.999882]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[67.0, 110.0, 10.0, 24.0, 124.0, 53.0, 96.0]",28XDH,"[67.0, 110.0]","[3.274557535714286, 3.5431529285714283, 7.257255814814814, 7.27062675, 55.72289257142857, 64.38922628571427, 99.23029792307692]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[10.0, 110.0, 67.0, 53.0, 96.0, 24.0, 139.0, 124.0]",28XDJ,"[10.0, 110.0]","[0.013739888888888888, 2.006383148148148, 2.6759344074074076, 12.84967068965517, 48.032549769230776, 60.623982222222224, 93.79715326923078, 96.25886207142858]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[10.0, 96.0, 110.0, 53.0, 139.0, 67.0, 39.0, 24.0, 82.0]",28XDK,"[10.0, 96.0]","[0.126483, 0.3692285384615384, 1.6847941153846153, 7.159639249999999, 29.93987862962963, 62.41682525000001, 79.5886705483871, 92.6611893125, 99.52483746153845]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[96.0, 53.0, 139.0, 10.0, 39.0, 82.0, 110.0, 125.0, 67.0, 25.0]",28XDL,"[96.0, 53.0]","[3.3833203333333333, 3.7449113846153845, 7.582543074074074, 8.756726785714287, 23.732901225806447, 41.51037138461539, 62.002055807692315, 82.59356175, 91.61107333333332, 99.65647656000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
