system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[18.0, 118.0]",49RBQ,"[18.0, 118.0]","[7.322156829787232, 80.37903486046511]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[118.0, 18.0]",49RCN,"[118.0, 18.0]","[7.721944326086956, 98.15762404651166]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[118.0, 18.0]",49RCP,"[118.0, 18.0]","[5.510133422222222, 80.91404066666665]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[118.0, 18.0]",49RCQ,"[118.0, 18.0]","[1.9472559069767443, 59.466754142857155]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[18.0, 61.0]",49SBA,"[18.0, 61.0]","[12.86497640425532, 30.158955155555553]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[61.0, 18.0]",49SBB,"[61.0, 18.0]","[10.342177266666663, 32.66172295652175]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[61.0, 18.0]",49SBC,"[61.0, 18.0]","[3.6585365853658536E-7, 54.57300373333332]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[61.0, 18.0]",49SBD,"[61.0, 18.0]","[1.9444371428571432, 77.66359089130435]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,[18.0],49SBR,[18.0],[10.670154999999998],"{""type"":""MultiPoint"",""coordinates"":[]}"
9,[18.0],49SBS,[18.0],[9.767441860465115E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[18.0, 61.0]",49SBT,"[18.0, 61.0]","[2.3488372093023256E-6, 98.14368804878049]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[18.0, 61.0]",49SBU,"[18.0, 61.0]","[1.86046511627907E-6, 79.90040714893617]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[18.0, 61.0]",49SBV,"[18.0, 61.0]","[5.926121891304347, 52.79276132558139]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[18.0, 61.0]",49SCA,"[18.0, 61.0]","[9.616370166666668, 99.999857]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[18.0, 61.0]",49SCB,"[18.0, 61.0]","[3.639903111111111, 89.03916804761906]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[18.0, 61.0]",49SCC,"[18.0, 61.0]","[5.7946888913043475, 62.542006292682935]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[18.0, 61.0]",49SCD,"[18.0, 61.0]","[3.8168774222222237, 37.43291038095238]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[118.0, 18.0]",49SCR,"[118.0, 18.0]","[11.199223166666664, 34.26231952173913]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[18.0, 118.0]",49SCS,"[18.0, 118.0]","[6.991324139534885, 35.90980690909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[18.0, 118.0]",49SCT,"[18.0, 118.0]","[1.4651162790697674E-6, 56.846526999999995]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[18.0, 118.0]",49SCU,"[18.0, 118.0]","[3.209302325581395E-6, 76.74069961904763]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[18.0, 118.0]",49SCV,"[18.0, 118.0]","[5.192203108695652, 96.25758257142854]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[18.0, 118.0]",49SDA,"[18.0, 118.0]","[8.795882239130437, 28.99998628571429]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[18.0, 118.0]",49SDB,"[18.0, 118.0]","[4.148566866666666, 54.72259093617022]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[18.0, 118.0]",49SDC,"[18.0, 118.0]","[5.39808241304348, 72.76463834090909]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[18.0, 118.0]",49SDD,"[18.0, 118.0]","[2.081075659090909, 92.45927265116278]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[118.0, 18.0]",49SDS,"[118.0, 18.0]","[3.870229136363636, 94.99357697674418]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[118.0, 18.0]",49SDT,"[118.0, 18.0]","[2.020371860465117, 72.84622172093025]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[118.0, 18.0]",49SDU,"[118.0, 18.0]","[1.7857142857142855E-6, 48.625086581395344]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[118.0, 18.0]",49SDV,"[118.0, 18.0]","[9.679809511627909, 28.324999173913042]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[118.0, 18.0]",49SEA,"[118.0, 18.0]","[2.322085744186047, 91.70469447826088]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[118.0, 18.0]",49SEB,"[118.0, 18.0]","[8.726173191489359, 67.86614713953489]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[118.0, 18.0]",49SEC,"[118.0, 18.0]","[3.7329180227272727, 47.05826952173914]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,"[118.0, 18.0]",49SED,"[118.0, 18.0]","[5.936811837209301, 20.34818034883721]","{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[118.0, 18.0]",49SFD,"[118.0, 18.0]","[1.369047619047619E-5, 99.94984655813953]","{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[61.0, 18.0, 104.0]",49TBE,"[61.0, 18.0]","[1.944604357142858, 96.75699709302327, 99.99490467857143]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[18.0, 61.0]",49TCE,"[18.0, 61.0]","[9.191860325581395, 11.988667190476187]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[61.0, 18.0]",49TCF,"[61.0, 18.0]","[3.946341463414634E-5, 36.04537895652174]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[61.0, 18.0]",49TCG,"[61.0, 18.0]","[6.585365853658536E-7, 58.36436945652174]","{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[61.0, 18.0]",49TCH,"[61.0, 18.0]","[1.9992021666666664, 79.9253762826087]","{""type"":""MultiPoint"",""coordinates"":[]}"
40,"[18.0, 61.0]",49TDE,"[18.0, 61.0]","[2.255987886363637, 96.79694873170732]","{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[18.0, 61.0]",49TDF,"[18.0, 61.0]","[7.128962765957447, 74.67327158536585]","{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[18.0, 61.0]",49TDG,"[18.0, 61.0]","[7.590818170212764, 48.484666804878046]","{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[18.0, 61.0]",49TDH,"[18.0, 61.0]","[5.723729891304347, 27.190840022727276]","{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[61.0, 18.0]",49TDJ,"[61.0, 18.0]","[5.856123348837208, 17.197751936170214]","{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[61.0, 18.0]",49TDK,"[61.0, 18.0]","[1.9458910714285713, 33.684457348837206]","{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[61.0, 18.0]",49TDL,"[61.0, 18.0]","[5.932756136363636, 56.40856216279071]","{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[61.0, 18.0, 104.0]",49TDM,"[61.0, 18.0]","[2.1951219512195123E-7, 79.40009425, 93.51725320930231]","{""type"":""MultiPoint"",""coordinates"":[]}"
48,"[18.0, 118.0]",49TEE,"[18.0, 118.0]","[3.7123109772727276, 22.52193752380952]","{""type"":""MultiPoint"",""coordinates"":[]}"
49,"[18.0, 118.0]",49TEF,"[18.0, 118.0]","[7.148846872340424, 44.62743393023257]","{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[18.0, 118.0]",49TEG,"[18.0, 118.0]","[5.4655729347826085, 65.17650225000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
51,"[18.0, 118.0, 61.0]",49TEH,"[18.0, 118.0]","[4.1293766000000005, 84.12434659523812, 99.9865786585366]","{""type"":""MultiPoint"",""coordinates"":[]}"
52,"[18.0, 61.0]",49TEJ,"[18.0, 61.0]","[6.9706866595744685, 87.7840497142857]","{""type"":""MultiPoint"",""coordinates"":[]}"
53,"[18.0, 61.0]",49TEK,"[18.0, 61.0]","[1.627906976744186E-7, 62.46720183333334]","{""type"":""MultiPoint"",""coordinates"":[]}"
54,"[18.0, 61.0]",49TEL,"[18.0, 61.0]","[0.0, 38.52096476744187]","{""type"":""MultiPoint"",""coordinates"":[]}"
55,"[18.0, 61.0]",49TEM,"[18.0, 61.0]","[1.8686685454545453, 10.713873439024388]","{""type"":""MultiPoint"",""coordinates"":[]}"
56,"[61.0, 18.0]",49TEN,"[61.0, 18.0]","[4.075127674418605, 10.299057418604649]","{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[118.0, 18.0]",49TFE,"[118.0, 18.0]","[2.6095238095238095E-5, 88.26533482222223]","{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[118.0, 18.0]",49TFF,"[118.0, 18.0]","[2.0473793023255813, 66.40110523913044]","{""type"":""MultiPoint"",""coordinates"":[]}"
59,"[118.0, 18.0]",49TFG,"[118.0, 18.0]","[3.8393522499999992, 44.208399391304354]","{""type"":""MultiPoint"",""coordinates"":[]}"
60,"[118.0, 18.0]",49TFH,"[118.0, 18.0]","[0.38424628571428565, 24.490460829787235]","{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[18.0, 118.0]",49TFJ,"[18.0, 118.0]","[8.271367936170215, 15.148564860465116]","{""type"":""MultiPoint"",""coordinates"":[]}"
62,"[18.0, 118.0]",49TFK,"[18.0, 118.0]","[6.976744186046512E-8, 35.63738763636364]","{""type"":""MultiPoint"",""coordinates"":[]}"
63,"[18.0, 118.0]",49TFL,"[18.0, 118.0]","[0.0, 53.70654199999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
64,"[18.0, 118.0, 61.0]",49TFM,"[18.0, 118.0]","[1.8612468636363637, 72.36429623809524, 97.25469451219516]","{""type"":""MultiPoint"",""coordinates"":[]}"
65,"[18.0, 61.0, 118.0]",49TFN,"[18.0, 61.0]","[0.0, 77.10096837209302, 91.6038166190476]","{""type"":""MultiPoint"",""coordinates"":[]}"
66,"[118.0, 18.0]",49TGJ,"[118.0, 18.0]","[2.0136162093023255, 86.76512858695652]","{""type"":""MultiPoint"",""coordinates"":[]}"
67,"[118.0, 18.0]",49TGK,"[118.0, 18.0]","[3.874100431818182, 63.08790104651163]","{""type"":""MultiPoint"",""coordinates"":[]}"
68,"[118.0, 18.0]",49TGL,"[118.0, 18.0]","[1.908967069767442, 40.4477623488372]","{""type"":""MultiPoint"",""coordinates"":[]}"
69,"[118.0, 18.0]",49TGM,"[118.0, 18.0]","[0.5592257857142857, 19.454155477272728]","{""type"":""MultiPoint"",""coordinates"":[]}"
70,"[18.0, 118.0]",49TGN,"[18.0, 118.0]","[1.249141906976744, 4.777306904761906]","{""type"":""MultiPoint"",""coordinates"":[]}"
71,"[61.0, 18.0]",49UEP,"[61.0, 18.0]","[4.100834069767442, 33.866055704545445]","{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[61.0, 18.0, 104.0]",49UEQ,"[61.0, 18.0]","[10.546259659574469, 55.0693465909091, 96.77194909090913]","{""type"":""MultiPoint"",""coordinates"":[]}"
73,"[61.0, 104.0, 18.0]",49UER,"[61.0, 104.0]","[5.800543477272728, 73.08001516279067, 76.01496123255815]","{""type"":""MultiPoint"",""coordinates"":[]}"
74,"[61.0, 104.0, 18.0]",49UES,"[61.0, 104.0]","[4.182854302325581, 46.15624615909092, 95.66984097674417]","{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[61.0, 104.0, 18.0]",49UFA,"[61.0, 104.0]","[4.261904761904761E-6, 28.388859088888886, 90.30456828888889]","{""type"":""MultiPoint"",""coordinates"":[]}"
76,"[18.0, 61.0]",49UFP,"[18.0, 61.0]","[1.9834043181818182, 54.82156553333332]","{""type"":""MultiPoint"",""coordinates"":[]}"
77,"[18.0, 61.0]",49UFQ,"[18.0, 61.0]","[1.9952725909090907, 34.01688825531916]","{""type"":""MultiPoint"",""coordinates"":[]}"
78,"[18.0, 61.0]",49UFR,"[18.0, 61.0]","[3.1860465116279076E-6, 9.560182477272727]","{""type"":""MultiPoint"",""coordinates"":[]}"
79,"[61.0, 18.0]",49UFS,"[61.0, 18.0]","[1.9561500476190474, 6.991056279069767]","{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[61.0, 18.0, 104.0]",49UFT,"[61.0, 18.0]","[6.292682926829268E-6, 27.61655753488372, 99.1593893488372]","{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[61.0, 18.0, 104.0]",49UFU,"[61.0, 18.0]","[4.092859813953488, 49.735494750000015, 80.70074211363637]","{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[61.0, 104.0, 18.0]",49UFV,"[61.0, 104.0]","[2.9841316744186055, 55.510226673913046, 72.13898929166668]","{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[18.0, 118.0]",49UGP,"[18.0, 118.0]","[1.8586889090909091, 21.385727285714292]","{""type"":""MultiPoint"",""coordinates"":[]}"
84,"[18.0, 118.0]",49UGQ,"[18.0, 118.0]","[0.0, 40.468859651162795]","{""type"":""MultiPoint"",""coordinates"":[]}"
85,"[18.0, 118.0, 61.0]",49UGR,"[18.0, 118.0]","[0.0, 58.49941304651163, 91.87758927272729]","{""type"":""MultiPoint"",""coordinates"":[]}"
86,"[18.0, 61.0, 118.0]",49UGS,"[18.0, 61.0]","[3.4883720930232557E-7, 67.96496516666664, 75.03848168292683]","{""type"":""MultiPoint"",""coordinates"":[]}"
87,"[18.0, 61.0, 118.0]",49UGT,"[18.0, 61.0]","[5.465116279069768E-6, 42.70268241463415, 92.85874360975609]","{""type"":""MultiPoint"",""coordinates"":[]}"
88,"[18.0, 61.0]",49UGU,"[18.0, 61.0]","[4.05310628888889, 23.26910090909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[61.0, 18.0]",49UGV,"[61.0, 18.0]","[3.7472723023255794, 10.468415122448977]","{""type"":""MultiPoint"",""coordinates"":[]}"
