system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[140.0, 97.0, 40.0]",18UVC,"[140.0, 97.0]","[2.2789817674418607, 37.1588532, 96.70850427906979]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[140.0, 97.0, 40.0]",18UVD,"[140.0, 97.0]","[8.670730787234044, 60.999929599999994, 71.70588042222222]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[140.0, 40.0, 97.0]",18UVE,"[140.0, 40.0]","[9.61904761904762E-6, 45.43752477551021, 83.98635800000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[97.0, 140.0]",18UVU,"[97.0, 140.0]","[2.261064093023256, 59.15540662790697]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[97.0, 140.0]",18UVV,"[97.0, 140.0]","[1.8285714285714284E-5, 29.55782938095238]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[97.0, 54.0, 140.0]",18UWA,"[97.0, 54.0]","[4.4380952380952386E-5, 58.19332995348837, 91.09242521428571]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[97.0, 140.0, 54.0]",18UWB,"[97.0, 140.0]","[5.742617933333334, 65.59829408888889, 78.94890432558138]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[97.0, 140.0, 54.0]",18UWC,"[97.0, 140.0]","[3.986557659090909, 41.59815042553192, 97.09089174999998]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[97.0, 140.0]",18UWD,"[97.0, 140.0]","[5.980763177777778, 16.727856085106385]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[140.0, 97.0]",18UWE,"[140.0, 97.0]","[5.654761904761903E-5, 7.606151456521739]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[140.0, 97.0, 40.0]",18UWF,"[140.0, 97.0]","[4.065387045454544, 19.353691045454543, 95.09549379069767]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[140.0, 97.0, 40.0]",18UWG,"[140.0, 97.0]","[3.9507252045454546, 41.45106476744188, 68.72033366666666]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[97.0, 54.0]",18UWU,"[97.0, 54.0]","[3.466666666666667E-5, 12.226534166666665]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[97.0, 54.0]",18UWV,"[97.0, 54.0]","[2.466666666666667E-5, 37.50368725]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[54.0, 97.0]",18UXA,"[54.0, 97.0]","[3.175016534883721, 19.92120345238095]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[54.0, 97.0]",18UXB,"[54.0, 97.0]","[4.083496340909091, 6.688619377777776]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[97.0, 54.0]",18UXC,"[97.0, 54.0]","[2.76904761904762E-5, 14.436475244444441]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[97.0, 54.0, 140.0]",18UXD,"[97.0, 54.0]","[5.079690733333333, 32.9793833409091, 95.21352897619045]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[97.0, 54.0, 140.0]",18UXE,"[97.0, 54.0]","[5.825114822222223, 53.52754227272727, 70.2712352857143]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[97.0, 140.0, 54.0]",18UXF,"[97.0, 140.0]","[3.76288325, 44.550796, 72.60029895238095]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[97.0, 140.0, 54.0]",18UXG,"[97.0, 140.0]","[1.2223809523809526E-4, 18.456794477272727, 92.97001788372091]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[54.0, 97.0]",18UXV,"[54.0, 97.0]","[5.027618022727273, 45.186358642857144]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[54.0, 97.0]",18UYE,"[54.0, 97.0]","[1.9058957906976741, 15.053168181818178]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[140.0, 40.0, 97.0]",18VWH,"[140.0, 40.0]","[7.286587260869566, 39.067769000000006, 64.85953148837211]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,"[140.0, 40.0, 97.0]",18VWJ,"[140.0, 40.0]","[5.541794911111111, 7.574997511627907, 88.08553820930234]","{""type"":""MultiPoint"",""coordinates"":[]}"
25,"[97.0, 140.0]",18VXH,"[97.0, 140.0]","[4.099879840909092, 10.852708645833337]","{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[97.0, 140.0, 40.0]",18VXJ,"[97.0, 140.0]","[3.695959093023256, 3.854351863636363, 94.05659925581398]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[140.0, 97.0, 40.0]",18VXK,"[140.0, 97.0]","[6.965351976744186, 22.802691395348834, 68.59377978571428]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[140.0, 40.0, 97.0]",18VXL,"[140.0, 40.0]","[3.750859435897436, 36.9871817631579, 48.892053190476204]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[140.0, 40.0, 97.0]",18VXM,"[140.0, 40.0]","[4.87023, 9.373111648648647, 70.37154890476192]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[54.0, 97.0]",19UCA,"[54.0, 97.0]","[0.9595323095238096, 4.067945590909091]","{""type"":""MultiPoint"",""coordinates"":[]}"
31,"[97.0, 54.0, 140.0]",19UCB,"[97.0, 54.0]","[2.123044441860465, 23.839383204545456, 87.46330813333336]","{""type"":""MultiPoint"",""coordinates"":[]}"
32,"[54.0, 97.0]",19UCV,"[54.0, 97.0]","[1.8968442790697677, 11.758974386363638]","{""type"":""MultiPoint"",""coordinates"":[]}"
33,"[97.0, 54.0, 140.0]",19VCC,"[97.0, 54.0]","[3.935846431818182, 49.80650745238096, 56.31900366666668]","{""type"":""MultiPoint"",""coordinates"":[]}"
34,"[97.0, 140.0, 54.0]",19VCD,"[97.0, 140.0]","[4.246733909090909, 20.68135208888889, 78.50813723809526]","{""type"":""MultiPoint"",""coordinates"":[]}"
35,"[97.0, 140.0, 40.0]",19VCE,"[97.0, 140.0]","[4.2868369069767445, 8.767003046511627, 99.59732476315789]","{""type"":""MultiPoint"",""coordinates"":[]}"
36,"[140.0, 97.0, 40.0]",19VCF,"[140.0, 97.0]","[4.347240871794872, 14.97672588095238, 76.7562289473684]","{""type"":""MultiPoint"",""coordinates"":[]}"
37,"[140.0, 40.0, 97.0]",19VCG,"[140.0, 40.0]","[2.6947922702702702, 38.0736948108108, 42.275577880952376]","{""type"":""MultiPoint"",""coordinates"":[]}"
38,"[140.0, 40.0, 97.0, 83.0]",19VCH,"[140.0, 40.0]","[2.4620415555555555, 6.362740805555556, 67.42724632432433, 99.9985452352941]","{""type"":""MultiPoint"",""coordinates"":[]}"
39,"[54.0, 97.0, 140.0]",19VDD,"[54.0, 97.0]","[0.16105288095238096, 1.9203623023255811, 97.7062124651163]","{""type"":""MultiPoint"",""coordinates"":[]}"
40,"[97.0, 54.0, 140.0]",19VDE,"[97.0, 54.0]","[7.584278232558139, 17.559172047619047, 70.72277384615384]","{""type"":""MultiPoint"",""coordinates"":[]}"
41,"[97.0, 140.0, 54.0]",19VDF,"[97.0, 140.0]","[12.450050581395349, 36.360842315789476, 47.031943799999986]","{""type"":""MultiPoint"",""coordinates"":[]}"
42,"[140.0, 97.0, 54.0]",19VDG,"[140.0, 97.0]","[5.084709, 11.65708056097561, 73.62824160526316]","{""type"":""MultiPoint"",""coordinates"":[]}"
43,"[140.0, 97.0, 40.0, 54.0]",19VDH,"[140.0, 97.0]","[0.4095211142857143, 5.096358972972973, 86.7409898857143, 96.27265608571429]","{""type"":""MultiPoint"",""coordinates"":[]}"
44,"[140.0, 97.0, 40.0]",19VDJ,"[140.0, 97.0]","[4.948817972222222, 12.58274294444444, 51.92717535135136]","{""type"":""MultiPoint"",""coordinates"":[]}"
45,"[54.0, 97.0, 140.0]",19VEG,"[54.0, 97.0]","[5.412181815789474, 8.819464230769231, 88.69842725]","{""type"":""MultiPoint"",""coordinates"":[]}"
46,"[97.0, 54.0, 140.0]",19VEH,"[97.0, 54.0]","[5.7471850540540546, 13.047334611111108, 55.74692675]","{""type"":""MultiPoint"",""coordinates"":[]}"
47,"[97.0, 140.0, 54.0]",19VEJ,"[97.0, 140.0]","[2.7936829142857142, 20.773462628571433, 43.8819732051282]","{""type"":""MultiPoint"",""coordinates"":[]}"
48,[97.0],16PDR,[97.0],[53.509889341463406],"{""type"":""MultiPoint"",""coordinates"":[]}"
49,[97.0],16PDS,[97.0],[48.445290731707324],"{""type"":""MultiPoint"",""coordinates"":[]}"
50,"[97.0, 140.0]",16PDT,"[97.0, 140.0]","[68.4486144390244, 69.21217497619048]","{""type"":""MultiPoint"",""coordinates"":[]}"
51,"[140.0, 97.0]",16PDU,"[140.0, 97.0]","[7.656127130434783, 88.63790054761905]","{""type"":""MultiPoint"",""coordinates"":[]}"
52,"[97.0, 140.0]",16PEA,"[97.0, 140.0]","[38.2955327804878, 39.61714495454546]","{""type"":""MultiPoint"",""coordinates"":[]}"
53,"[140.0, 97.0]",16PEB,"[140.0, 97.0]","[21.615642044444446, 60.03948870454546]","{""type"":""MultiPoint"",""coordinates"":[]}"
54,"[140.0, 97.0]",16PEC,"[140.0, 97.0]","[4.851213159090909, 77.19455514285711]","{""type"":""MultiPoint"",""coordinates"":[]}"
55,[97.0],16PER,[97.0],[16.192610853658536],"{""type"":""MultiPoint"",""coordinates"":[]}"
56,[97.0],16PES,[97.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
57,"[97.0, 140.0]",16PET,"[97.0, 140.0]","[0.0, 96.89582800000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
58,"[97.0, 140.0]",16PEU,"[97.0, 140.0]","[4.162404547619047, 79.99182730434782]","{""type"":""MultiPoint"",""coordinates"":[]}"
59,"[97.0, 140.0]",16PEV,"[97.0, 140.0]","[18.889769975609756, 62.80472026530613]","{""type"":""MultiPoint"",""coordinates"":[]}"
60,[97.0],16PFA,[97.0],[2.0028367560975613],"{""type"":""MultiPoint"",""coordinates"":[]}"
61,"[97.0, 140.0]",16PFB,"[97.0, 140.0]","[7.46822890909091, 99.67957045454546]","{""type"":""MultiPoint"",""coordinates"":[]}"
62,"[97.0, 140.0]",16PFC,"[97.0, 140.0]","[3.9835278809523813, 87.37014063636363]","{""type"":""MultiPoint"",""coordinates"":[]}"
63,"[54.0, 97.0]",16PFQ,"[54.0, 97.0]","[78.42502070000002, 85.854463]","{""type"":""MultiPoint"",""coordinates"":[]}"
64,"[97.0, 54.0]",16PFR,"[97.0, 54.0]","[1.5808239756097562, 96.172585725]","{""type"":""MultiPoint"",""coordinates"":[]}"
65,[97.0],16PFS,[97.0],[2.1951219512195123E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
66,[97.0],16PFT,[97.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
67,[97.0],16PFU,[97.0],[3.108864547619048],"{""type"":""MultiPoint"",""coordinates"":[]}"
68,[97.0],16PFV,[97.0],[4.316079547619047],"{""type"":""MultiPoint"",""coordinates"":[]}"
69,[97.0],16PGA,[97.0],[4.443591357142858],"{""type"":""MultiPoint"",""coordinates"":[]}"
70,[97.0],16PGB,[97.0],[7.454890522727272],"{""type"":""MultiPoint"",""coordinates"":[]}"
71,[97.0],16PGC,[97.0],[3.904579738095238],"{""type"":""MultiPoint"",""coordinates"":[]}"
72,"[54.0, 97.0]",16PGQ,"[54.0, 97.0]","[0.0, 95.59017046341462]","{""type"":""MultiPoint"",""coordinates"":[]}"
73,"[54.0, 97.0]",16PGR,"[54.0, 97.0]","[7.211953475, 71.21597212195121]","{""type"":""MultiPoint"",""coordinates"":[]}"
74,"[54.0, 97.0]",16PGS,"[54.0, 97.0]","[26.245162100000005, 51.2750975121951]","{""type"":""MultiPoint"",""coordinates"":[]}"
75,"[97.0, 54.0]",16PGT,"[97.0, 54.0]","[32.85110997619048, 46.57074580487805]","{""type"":""MultiPoint"",""coordinates"":[]}"
76,"[97.0, 54.0]",16PGU,"[97.0, 54.0]","[14.621554738095242, 65.27330536585366]","{""type"":""MultiPoint"",""coordinates"":[]}"
77,"[97.0, 54.0]",16PGV,"[97.0, 54.0]","[4.137219761904762, 83.78310717073171]","{""type"":""MultiPoint"",""coordinates"":[]}"
78,"[54.0, 97.0]",16PHA,"[54.0, 97.0]","[12.893061951219513, 63.637205560975595]","{""type"":""MultiPoint"",""coordinates"":[]}"
79,"[54.0, 97.0]",16PHB,"[54.0, 97.0]","[31.17621407317074, 47.65519174999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
80,"[97.0, 54.0]",16PHC,"[97.0, 54.0]","[26.722140000000007, 50.75769293023255]","{""type"":""MultiPoint"",""coordinates"":[]}"
81,"[54.0, 97.0]",16PHU,"[54.0, 97.0]","[1.5E-7, 98.35908357499997]","{""type"":""MultiPoint"",""coordinates"":[]}"
82,"[54.0, 97.0]",16PHV,"[54.0, 97.0]","[4.3576311428571435, 83.3139034047619]","{""type"":""MultiPoint"",""coordinates"":[]}"
83,"[140.0, 97.0]",16QED,"[140.0, 97.0]","[2.14535211627907, 94.79252583333334]","{""type"":""MultiPoint"",""coordinates"":[]}"
84,"[97.0, 140.0]",16QFD,"[97.0, 140.0]","[9.515781642857146, 66.74063460465118]","{""type"":""MultiPoint"",""coordinates"":[]}"
85,"[97.0, 140.0]",16QFE,"[97.0, 140.0]","[25.60418785365853, 46.82148381395348]","{""type"":""MultiPoint"",""coordinates"":[]}"
86,"[140.0, 97.0]",16QFF,"[140.0, 97.0]","[27.95549799999999, 44.07533621951219]","{""type"":""MultiPoint"",""coordinates"":[]}"
87,"[140.0, 97.0]",16QFG,"[140.0, 97.0]","[9.426393340909092, 62.80298000000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
88,"[140.0, 97.0]",16QFH,"[140.0, 97.0]","[2.3809523809523811E-7, 81.28154762500002]","{""type"":""MultiPoint"",""coordinates"":[]}"
89,"[140.0, 97.0]",16QFJ,"[140.0, 97.0]","[2.2754544418604654, 97.02029878571427]","{""type"":""MultiPoint"",""coordinates"":[]}"
90,[97.0],16QGD,[97.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
91,[97.0],16QGE,[97.0],[2.1279317073170736],"{""type"":""MultiPoint"",""coordinates"":[]}"
92,[97.0],16QGF,[97.0],[2.132765243902439],"{""type"":""MultiPoint"",""coordinates"":[]}"
93,"[97.0, 140.0]",16QGG,"[97.0, 140.0]","[2.031754024390244, 94.80824737209305]","{""type"":""MultiPoint"",""coordinates"":[]}"
94,"[97.0, 140.0]",16QGH,"[97.0, 140.0]","[2.2131769749999997, 75.4556732857143]","{""type"":""MultiPoint"",""coordinates"":[]}"
95,"[97.0, 140.0]",16QGJ,"[97.0, 140.0]","[8.728242794871793, 56.112880976744194]","{""type"":""MultiPoint"",""coordinates"":[]}"
96,"[97.0, 54.0]",16QHD,"[97.0, 54.0]","[5.259369775, 69.39859619565217]","{""type"":""MultiPoint"",""coordinates"":[]}"
97,"[97.0, 54.0]",16QHE,"[97.0, 54.0]","[1.9983981219512197, 84.56626014634146]","{""type"":""MultiPoint"",""coordinates"":[]}"
98,[97.0],16QHF,[97.0],[1.75E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
99,[97.0],16QHG,[97.0],[2.3758298292682927],"{""type"":""MultiPoint"",""coordinates"":[]}"
100,[97.0],16QHH,[97.0],[7.692307692307692E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
101,[97.0],16QHJ,[97.0],[2.4933325],"{""type"":""MultiPoint"",""coordinates"":[]}"
102,"[54.0, 97.0]",17PKR,"[54.0, 97.0]","[2.183891780487805, 99.41323051219514]","{""type"":""MultiPoint"",""coordinates"":[]}"
103,"[54.0, 97.0]",17PKS,"[54.0, 97.0]","[2.0041972195121955, 85.62872027906975]","{""type"":""MultiPoint"",""coordinates"":[]}"
104,"[54.0, 97.0]",17PKT,"[54.0, 97.0]","[13.627278093023255, 63.98087561904764]","{""type"":""MultiPoint"",""coordinates"":[]}"
105,"[97.0, 54.0]",17QKA,"[97.0, 54.0]","[1.30853335, 72.33964546341467]","{""type"":""MultiPoint"",""coordinates"":[]}"
106,"[97.0, 54.0]",17QKB,"[97.0, 54.0]","[2.5725933902439024, 92.78403414634147]","{""type"":""MultiPoint"",""coordinates"":[]}"
107,[97.0],17QKC,[97.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
108,[97.0],17QKD,[97.0],[2.4297130499999997],"{""type"":""MultiPoint"",""coordinates"":[]}"
109,"[54.0, 97.0]",17QKU,"[54.0, 97.0]","[36.45674502173912, 40.27678052500001]","{""type"":""MultiPoint"",""coordinates"":[]}"
110,"[97.0, 54.0]",17QKV,"[97.0, 54.0]","[19.640712341463413, 51.35407609756098]","{""type"":""MultiPoint"",""coordinates"":[]}"
111,"[54.0, 97.0]",17QLA,"[54.0, 97.0]","[0.0, 86.841260875]","{""type"":""MultiPoint"",""coordinates"":[]}"
112,"[54.0, 97.0]",17QLB,"[54.0, 97.0]","[6.314417523809523, 65.69494895121952]","{""type"":""MultiPoint"",""coordinates"":[]}"
113,"[54.0, 97.0]",17QLC,"[54.0, 97.0]","[24.555772309523803, 42.23423635897436]","{""type"":""MultiPoint"",""coordinates"":[]}"
114,"[97.0, 54.0]",17QLD,"[97.0, 54.0]","[21.480629575000002, 45.005987142857144]","{""type"":""MultiPoint"",""coordinates"":[]}"
115,"[54.0, 97.0]",17QLV,"[54.0, 97.0]","[0.0, 99.79541240000003]","{""type"":""MultiPoint"",""coordinates"":[]}"
116,"[54.0, 97.0]",17QMD,"[54.0, 97.0]","[1.9539819523809525, 99.96421054999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
117,"[140.0, 97.0]",15MYT,"[140.0, 97.0]","[15.978473534883717, 97.85201764705883]","{""type"":""MultiPoint"",""coordinates"":[]}"
118,"[97.0, 140.0]",15MZS,"[97.0, 140.0]","[89.83638692682925, 98.63371235714285]","{""type"":""MultiPoint"",""coordinates"":[]}"
119,"[97.0, 140.0]",15MZT,"[97.0, 140.0]","[11.539210853658538, 72.38800874418602]","{""type"":""MultiPoint"",""coordinates"":[]}"
120,"[97.0, 140.0]",15MZU,"[97.0, 140.0]","[29.692057658536573, 51.28074200000002]","{""type"":""MultiPoint"",""coordinates"":[]}"
121,"[140.0, 97.0]",15MZV,"[140.0, 97.0]","[31.09037078571429, 51.01954600000001]","{""type"":""MultiPoint"",""coordinates"":[]}"
