system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[71.0, 28.0, 128.0, 114.0]",09WWP,"[71.0, 28.0]","[3.27589835483871, 4.27822775, 53.86535659374999, 64.19681378125001]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[28.0, 71.0, 128.0, 114.0]",09WXR,"[28.0, 71.0]","[2.9284136666666667, 4.417609866666667, 26.86566668749999, 69.8619658125]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[28.0, 71.0, 128.0, 114.0]",10WDB,"[28.0, 71.0]","[0.35816475862068964, 5.40687776666667, 18.15869106666667, 60.460833199999996]","{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[71.0, 28.0, 128.0]",20XNT,"[71.0, 28.0]","[93.81997994736842, 95.21864742857144, 96.7308939]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,[28.0],07UGV,[28.0],[86.44003557142858],"{""type"":""MultiPoint"",""coordinates"":[]}"
5,[28.0],08ULE,[28.0],[83.86057554761904],"{""type"":""MultiPoint"",""coordinates"":[]}"
6,[28.0],08ULF,[28.0],[25.176920428571428],"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[28.0, 71.0]",08ULG,"[28.0, 71.0]","[52.77167933333333, 85.19790792682926]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[28.0, 128.0]",08UME,"[28.0, 128.0]","[56.643279785714284, 57.61891153658537]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[28.0, 128.0]",08UMF,"[28.0, 128.0]","[0.0, 82.58675814634144]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[28.0, 71.0]",08UMG,"[28.0, 71.0]","[0.0, 52.790766463414634]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[128.0, 28.0]",08UNE,"[128.0, 28.0]","[0.0, 30.43613635714286]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,"[28.0, 128.0]",08UNF,"[28.0, 128.0]","[0.0, 0.4849453170731706]","{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[28.0, 128.0, 71.0]",08UNG,"[28.0, 128.0]","[7.142857142857144E-8, 16.247159024390246, 90.55180926829269]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[71.0, 28.0]",08VLH,"[71.0, 28.0]","[2.2492172195121958, 81.289378]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[28.0, 71.0, 114.0]",08VMH,"[28.0, 71.0]","[2.340508837209302, 4.449158627906977, 99.99882]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[71.0, 28.0, 114.0]",08VMJ,"[71.0, 28.0]","[3.842543069767442, 17.776630452380953, 76.93361320930234]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[71.0, 114.0, 28.0]",08VMK,"[71.0, 114.0]","[4.514973097560976, 46.111106302325574, 47.403941093023256]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[71.0, 114.0, 28.0]",08VML,"[71.0, 114.0]","[1.7911355135135134, 11.706991025641026, 73.32909605263156]","{""type"":""MultiPoint"",""coordinates"":[]}"
