system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,[41.0],10KDV,[41.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
1,[41.0],10KEA,[41.0],[20.83663690909091],"{""type"":""MultiPoint"",""coordinates"":[]}"
2,[41.0],10KEB,[41.0],[85.70132818181818],"{""type"":""MultiPoint"",""coordinates"":[]}"
3,[41.0],10KEU,[41.0],[60.93114963636364],"{""type"":""MultiPoint"",""coordinates"":[]}"
4,[41.0],10KEV,[41.0],[40.67053399999999],"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[113.0, 70.0]",11UPV,"[113.0, 70.0]","[4.027364511111112, 5.411470024390245]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[70.0, 113.0]",12UUG,"[70.0, 113.0]","[7.756097560975613E-6, 0.43249209302325586]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,[113.0],10SCD,[113.0],[93.35283499999998],"{""type"":""MultiPoint"",""coordinates"":[]}"
8,[113.0],10SCE,[113.0],[87.77804609302325],"{""type"":""MultiPoint"",""coordinates"":[]}"
9,[113.0],10SDD,[113.0],[62.47541334883722],"{""type"":""MultiPoint"",""coordinates"":[]}"
10,[113.0],10SDE,[113.0],[1.580252558139535],"{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[113.0, 70.0]",10SED,"[113.0, 70.0]","[41.22807523255815, 93.43460006976743]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,[113.0],10SEE,[113.0],[6.976744186046512E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[70.0, 113.0]",10SFC,"[70.0, 113.0]","[2.3108946744186047, 99.92919927272729]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[70.0, 113.0]",10SFD,"[70.0, 113.0]","[6.008723837209304, 44.89381746511627]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[113.0, 70.0]",10SFE,"[113.0, 70.0]","[12.084896340909095, 23.575435186046512]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[113.0, 70.0]",10SFF,"[113.0, 70.0]","[5.342569304347826, 41.361478119047625]","{""type"":""MultiPoint"",""coordinates"":[]}"
