system:index,ALL_ORBITS,MGRS_TILE,ORBITS_TO_KEEP,ORBIT_MEAN_NODATA_PERCENTAGE,.geo
0,"[21.0, 121.0]",36RVT,"[21.0, 121.0]","[5.601120565217391, 73.29703465116279]","{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[21.0, 121.0]",36RVU,"[21.0, 121.0]","[6.116279069767442E-6, 92.85471688372094]","{""type"":""MultiPoint"",""coordinates"":[]}"
2,[21.0],36RVV,[21.0],[2.0930232558139536E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[121.0, 21.0]",36RWT,"[121.0, 21.0]","[4.135519545454545, 67.3485395777778]","{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[121.0, 21.0]",36RWU,"[121.0, 21.0]","[10.771411065217391, 43.75114665116279]","{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[21.0, 121.0]",36RWV,"[21.0, 121.0]","[21.473829744186048, 22.087824023809528]","{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[64.0, 21.0]",36STA,"[64.0, 21.0]","[3.759312181818182, 96.07531795348837]","{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[21.0, 64.0]",36SUA,"[21.0, 64.0]","[7.749901186046511, 36.453460477272735]","{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[64.0, 21.0]",36SUB,"[64.0, 21.0]","[9.579138142857143, 29.402195395348837]","{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[64.0, 21.0]",36SUC,"[64.0, 21.0]","[5.441832577777777, 53.23311797777777]","{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[64.0, 21.0]",36SUD,"[64.0, 21.0]","[4.7619047619047623E-7, 73.32394493023254]","{""type"":""MultiPoint"",""coordinates"":[]}"
11,"[64.0, 21.0]",36SUE,"[64.0, 21.0]","[1.9021753720930235, 94.00142962790694]","{""type"":""MultiPoint"",""coordinates"":[]}"
12,[21.0],36SVA,[21.0],[0.0],"{""type"":""MultiPoint"",""coordinates"":[]}"
13,"[21.0, 64.0]",36SVB,"[21.0, 64.0]","[4.410869444444445, 96.94289322727273]","{""type"":""MultiPoint"",""coordinates"":[]}"
14,"[21.0, 64.0]",36SVC,"[21.0, 64.0]","[3.643962311111111, 77.45861715555556]","{""type"":""MultiPoint"",""coordinates"":[]}"
15,"[21.0, 64.0]",36SVD,"[21.0, 64.0]","[1.3953488372093023E-6, 51.93482671428571]","{""type"":""MultiPoint"",""coordinates"":[]}"
16,"[21.0, 64.0]",36SVE,"[21.0, 64.0]","[5.2633323953488365, 29.126397186046514]","{""type"":""MultiPoint"",""coordinates"":[]}"
17,"[64.0, 21.0]",36SVF,"[64.0, 21.0]","[5.5356561666666675, 25.591537348837207]","{""type"":""MultiPoint"",""coordinates"":[]}"
18,"[64.0, 21.0]",36SVG,"[64.0, 21.0]","[1.15E-5, 49.10568244444443]","{""type"":""MultiPoint"",""coordinates"":[]}"
19,"[64.0, 21.0]",36SVH,"[64.0, 21.0]","[1.905807837209303, 69.0599395]","{""type"":""MultiPoint"",""coordinates"":[]}"
20,"[64.0, 21.0]",36SVJ,"[64.0, 21.0]","[2.2628473488372096, 89.64965956818183]","{""type"":""MultiPoint"",""coordinates"":[]}"
21,"[21.0, 121.0]",36SWA,"[21.0, 121.0]","[2.6941554883720937, 42.02468102380952]","{""type"":""MultiPoint"",""coordinates"":[]}"
22,"[21.0, 121.0]",36SWB,"[21.0, 121.0]","[3.8221560666666665, 62.56652327906977]","{""type"":""MultiPoint"",""coordinates"":[]}"
23,"[21.0, 121.0]",36SWC,"[21.0, 121.0]","[3.9934662888888894, 81.86805809302325]","{""type"":""MultiPoint"",""coordinates"":[]}"
24,[21.0],36SWD,[21.0],[4.651162790697675E-7],"{""type"":""MultiPoint"",""coordinates"":[]}"
25,[21.0],36SWE,[21.0],[6.976744186046512E-8],"{""type"":""MultiPoint"",""coordinates"":[]}"
26,"[21.0, 64.0]",36SWF,"[21.0, 64.0]","[4.739534883720931E-5, 93.73454076190475]","{""type"":""MultiPoint"",""coordinates"":[]}"
27,"[21.0, 64.0]",36SWG,"[21.0, 64.0]","[3.6462274222222226, 71.02771261904762]","{""type"":""MultiPoint"",""coordinates"":[]}"
28,"[21.0, 64.0]",36SWH,"[21.0, 64.0]","[1.9004743863636373, 48.15110286046511]","{""type"":""MultiPoint"",""coordinates"":[]}"
29,"[21.0, 64.0]",36SWJ,"[21.0, 64.0]","[4.219138954545453, 23.44235521428571]","{""type"":""MultiPoint"",""coordinates"":[]}"
30,"[121.0, 21.0]",36SXA,"[121.0, 21.0]","[1.4285714285714287E-7, 90.21118299999999]","{""type"":""MultiPoint"",""coordinates"":[]}"
